round,cooperation0,cooperation1,cooperation2,cooperation3,cooperation4,cooperation5,cooperation6,cooperation7,cooperation8,cooperation9,cooperation10,cooperation11,cooperation12,cooperation13,cooperation14,cooperation15,cooperation16,cooperation17,cooperation18,cooperation19,cooperation20,cooperation21,cooperation22,cooperation23,cooperation24,cooperation25,cooperation26,cooperation27,cooperation28,cooperation29,cooperation30,cooperation31,cooperation32,cooperation33,cooperation34,cooperation35,cooperation36,cooperation37,cooperation38,cooperation39,cooperation40,cooperation41,cooperation42,cooperation43,cooperation44,cooperation45,cooperation46,cooperation47,cooperation48,cooperation49,cooperation50,cooperation51,cooperation52,cooperation53,cooperation54,cooperation55,cooperation56,cooperation57,cooperation58,cooperation59,cooperation60,cooperation61,cooperation62,cooperation63,cooperation64,cooperation65,cooperation66,cooperation67,cooperation68,cooperation69,cooperation70,cooperation71,cooperation72,cooperation73,cooperation74,cooperation75,cooperation76,cooperation77,cooperation78,cooperation79,cooperation80,cooperation81,cooperation82,cooperation83,cooperation84,cooperation85,cooperation86,cooperation87,cooperation88,cooperation89,cooperation90,cooperation91,cooperation92,cooperation93,cooperation94,cooperation95,cooperation96,cooperation97,cooperation98,cooperation99,,min,max,average,stdev
0,0.4306,0.5208,0.4375,0.4722,0.5069,0.4653,0.4722,0.4583,0.4653,0.5486,0.4583,0.4236,0.5208,0.5069,0.4653,0.5208,0.4375,0.5139,0.3889,0.4097,0.5486,0.4931,0.5278,0.4722,0.4792,0.4236,0.5000,0.4236,0.5000,0.5486,0.5139,0.5417,0.4931,0.5972,0.4583,0.5486,0.4931,0.5556,0.4167,0.5000,0.4583,0.4792,0.5139,0.4653,0.5764,0.5069,0.5347,0.5000,0.5000,0.4375,0.4167,0.4653,0.5000,0.5417,0.4861,0.4236,0.4792,0.5625,0.4653,0.4514,0.5694,0.4931,0.5486,0.4514,0.5000,0.4583,0.4861,0.4792,0.4236,0.5208,0.5278,0.4722,0.5278,0.5139,0.4583,0.5139,0.5694,0.5486,0.5069,0.5208,0.4792,0.5000,0.4722,0.5764,0.5139,0.4792,0.5556,0.5347,0.4792,0.5556,0.5208,0.5278,0.5417,0.4792,0.5000,0.4861,0.5694,0.4514,0.4583,0.5556,,0.3889,0.5972,0.4955,0.0442
1,0.0208,0.0625,0.0000,0.0069,0.0417,0.0139,0.0069,0.0069,0.0694,0.0139,0.0486,0.0278,0.0000,0.0000,0.0069,0.0208,0.0000,0.0208,0.0625,0.0000,0.0139,0.0208,0.1389,0.0000,0.0000,0.0069,0.0556,0.0278,0.0069,0.0000,0.0069,0.0069,0.0000,0.0139,0.0278,0.0347,0.0139,0.0556,0.0069,0.0764,0.0000,0.0417,0.0278,0.0278,0.0139,0.0000,0.0347,0.0278,0.0069,0.0000,0.0069,0.0069,0.0139,0.0556,0.0000,0.0000,0.0069,0.0139,0.0139,0.0208,0.0000,0.0208,0.0000,0.0278,0.0000,0.0069,0.0208,0.0000,0.0139,0.0694,0.0069,0.0347,0.0347,0.0000,0.0208,0.0000,0.0972,0.0486,0.0139,0.0694,0.0417,0.0833,0.0139,0.0694,0.0069,0.0000,0.0417,0.0417,0.0278,0.0417,0.0139,0.0000,0.0000,0.0000,0.1181,0.0139,0.0903,0.0069,0.0069,0.0278,,0.0000,0.1389,0.0240,0.0278
2,0.0000,0.0764,0.0000,0.0000,0.1389,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1736,0.0000,0.0000,0.0000,0.2569,0.0000,0.0000,0.0000,0.0278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0208,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1111,0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.0625,0.0417,0.0000,0.1667,0.1111,0.1042,0.0000,0.1528,0.0000,0.0000,0.0417,0.0000,0.1111,0.0347,0.0000,0.0000,0.0000,0.0000,0.1042,0.0000,0.1806,0.0000,0.0000,0.0000,,0.0000,0.2569,0.0246,0.0531
3,0.0000,0.0764,0.0000,0.0000,0.2917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3403,0.0000,0.0000,0.0000,0.4375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.2222,0.0417,0.0000,0.3194,0.2500,0.1667,0.0000,0.2917,0.0000,0.0000,0.0417,0.0000,0.2500,0.0069,0.0000,0.0000,0.0000,0.0000,0.2292,0.0000,0.3333,0.0000,0.0000,0.0000,,0.0000,0.4375,0.0467,0.1054
4,0.0000,0.0764,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5625,0.0000,0.0000,0.0000,0.6736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4444,0.0000,0.0000,0.0000,0.4444,0.0000,0.0000,0.0000,0.0000,0.0000,0.5556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4444,0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.3333,0.0417,0.0000,0.5278,0.4444,0.1806,0.0000,0.4861,0.0000,0.0000,0.0417,0.0000,0.4444,0.0000,0.0000,0.0000,0.0000,0.0000,0.4097,0.0000,0.5417,0.0000,0.0000,0.0000,,0.0000,0.6736,0.0764,0.1758
5,0.0000,0.0764,0.0000,0.0000,0.7639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,0.0000,0.0000,0.7361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6944,0.0000,0.0000,0.0000,0.6944,0.0000,0.0000,0.0000,0.0000,0.0000,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6944,0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.4444,0.0417,0.0000,0.7778,0.6944,0.2778,0.0000,0.7222,0.0000,0.0000,0.0417,0.0000,0.6944,0.0000,0.0000,0.0000,0.0000,0.0000,0.6319,0.0000,0.7847,0.0000,0.0000,0.0000,,0.0000,0.8403,0.1118,0.2581
6,0.0000,0.0764,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5625,0.0000,0.0000,0.0000,0.7361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.5556,0.0417,0.0000,0.6875,1.0000,0.4792,0.0000,0.7986,0.0000,0.0000,0.0417,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9097,0.0000,0.6875,0.0000,0.0000,0.0000,,0.0000,1.0000,0.1337,0.3113
7,0.0000,0.0764,0.0000,0.0000,0.9167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,0.0000,0.0000,0.6528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.6667,0.0417,0.0000,0.7500,1.0000,0.6944,0.0000,0.6528,0.0000,0.0000,0.0417,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6875,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0000,1.0000,0.1381,0.3182
8,0.0000,0.0764,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5625,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.6667,0.0417,0.0000,0.6806,1.0000,0.6111,0.0000,0.6667,0.0000,0.0000,0.0417,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8194,0.0000,0.6806,0.0000,0.0000,0.0000,,0.0000,1.0000,0.1339,0.3101
9,0.0000,0.0764,0.0000,0.0000,0.9167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,0.0000,0.0000,0.6597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0417,0.0000,0.0000,0.0000,0.0000,0.6667,0.0417,0.0000,0.7153,1.0000,0.5694,0.0000,0.7431,0.0000,0.0000,0.0417,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6875,0.0000,0.7153,0.0000,0.0000,0.0000,,0.0000,1.0000,0.1372,0.3167
