round,cooperation0,cooperation1,cooperation2,cooperation3,cooperation4,cooperation5,cooperation6,cooperation7,cooperation8,cooperation9,cooperation10,cooperation11,cooperation12,cooperation13,cooperation14,cooperation15,cooperation16,cooperation17,cooperation18,cooperation19,cooperation20,cooperation21,cooperation22,cooperation23,cooperation24,cooperation25,cooperation26,cooperation27,cooperation28,cooperation29,cooperation30,cooperation31,cooperation32,cooperation33,cooperation34,cooperation35,cooperation36,cooperation37,cooperation38,cooperation39,cooperation40,cooperation41,cooperation42,cooperation43,cooperation44,cooperation45,cooperation46,cooperation47,cooperation48,cooperation49,,min,max,average,stdev
0,0.3240,0.3244,0.3448,0.3260,0.3364,0.3344,0.3400,0.3256,0.3292,0.3208,0.3356,0.3404,0.3224,0.3216,0.3272,0.3416,0.3436,0.3352,0.3440,0.3364,0.3304,0.3336,0.3208,0.3224,0.3348,0.3344,0.3432,0.3264,0.3300,0.3220,0.3500,0.3324,0.3384,0.3168,0.3300,0.3272,0.3316,0.3372,0.3352,0.3272,0.3368,0.3472,0.3344,0.3296,0.3480,0.3384,0.3220,0.3276,0.3336,0.3248,,0.3168,0.3500,0.3324,0.0081
1,0.3172,0.2996,0.3204,0.3016,0.3176,0.3316,0.4004,0.2960,0.3464,0.3316,0.3836,0.3852,0.3100,0.3424,0.3232,0.3156,0.3672,0.3728,0.3624,0.3176,0.3600,0.3508,0.3200,0.3388,0.3736,0.3600,0.3744,0.2688,0.3984,0.2868,0.2952,0.3468,0.3288,0.3224,0.3940,0.3272,0.3324,0.3532,0.3560,0.2948,0.3384,0.3564,0.3264,0.3716,0.3064,0.3480,0.3680,0.3384,0.3004,0.3884,,0.2688,0.4004,0.3393,0.0317
2,0.3152,0.3072,0.2872,0.3372,0.3328,0.3412,0.3868,0.3680,0.3772,0.4160,0.3612,0.3732,0.3528,0.3532,0.3660,0.2988,0.3092,0.3584,0.3468,0.3128,0.3992,0.3432,0.3572,0.3528,0.3816,0.3884,0.3888,0.2772,0.3788,0.2808,0.2684,0.3440,0.2984,0.3740,0.3836,0.3128,0.3324,0.3492,0.3108,0.2976,0.3432,0.3424,0.3452,0.3804,0.2816,0.3460,0.4336,0.3044,0.2868,0.3792,,0.2684,0.4336,0.3433,0.0386
3,0.3208,0.3324,0.2896,0.3728,0.3420,0.3368,0.3208,0.4096,0.3708,0.4264,0.3312,0.3268,0.3856,0.3940,0.4040,0.2928,0.2916,0.3324,0.3236,0.3268,0.3752,0.3296,0.3676,0.3528,0.3708,0.3948,0.3380,0.3288,0.3440,0.3124,0.2804,0.3344,0.2784,0.3940,0.3616,0.3016,0.3272,0.3248,0.2868,0.3348,0.3212,0.3124,0.3672,0.3828,0.2964,0.3016,0.4352,0.2844,0.3144,0.3508,,0.2784,0.4352,0.3407,0.0390
4,0.3260,0.3768,0.3064,0.3800,0.3592,0.3124,0.2772,0.3748,0.3640,0.3928,0.2588,0.2928,0.3732,0.3836,0.4188,0.3084,0.2696,0.3216,0.3076,0.3524,0.3276,0.2980,0.3540,0.3376,0.3492,0.3532,0.2932,0.3992,0.3044,0.3528,0.2940,0.3184,0.2816,0.3936,0.3236,0.3072,0.3280,0.2848,0.2672,0.3848,0.3084,0.2748,0.3632,0.3692,0.3224,0.2932,0.4016,0.2964,0.3396,0.3184,,0.2588,0.4188,0.3319,0.0408
5,0.3028,0.4152,0.3376,0.3636,0.3656,0.3080,0.2544,0.3236,0.3356,0.3640,0.2156,0.2920,0.3424,0.3500,0.3876,0.3372,0.2476,0.3212,0.3048,0.3636,0.2980,0.2672,0.3508,0.3228,0.3060,0.3096,0.2720,0.4408,0.2684,0.3616,0.3140,0.3084,0.3168,0.3844,0.2808,0.3396,0.3364,0.2600,0.2756,0.4272,0.3060,0.2552,0.3608,0.3392,0.3376,0.2988,0.3220,0.3128,0.3368,0.2812,,0.2156,0.4408,0.3225,0.0460
6,0.2988,0.4240,0.3504,0.3320,0.3628,0.3172,0.2572,0.2856,0.3028,0.3372,0.2132,0.3064,0.3048,0.3056,0.3416,0.3412,0.2496,0.3304,0.3080,0.3508,0.2820,0.2564,0.3376,0.3112,0.2780,0.2868,0.2720,0.4536,0.2560,0.3628,0.3448,0.3208,0.3508,0.3712,0.2704,0.3680,0.3392,0.2592,0.3112,0.4468,0.3160,0.2620,0.3380,0.3092,0.3604,0.3140,0.2584,0.3500,0.3280,0.2904,,0.2132,0.4536,0.3185,0.0482
7,0.3120,0.4028,0.3652,0.3060,0.3388,0.3204,0.2684,0.2836,0.2904,0.3044,0.2556,0.3284,0.3088,0.2740,0.3052,0.3488,0.2724,0.3336,0.3228,0.3424,0.2816,0.2732,0.3132,0.2984,0.2688,0.2808,0.3068,0.4240,0.2668,0.3484,0.3692,0.3228,0.3564,0.3724,0.2972,0.3908,0.3312,0.2896,0.3380,0.4360,0.3252,0.3052,0.3332,0.2860,0.3700,0.3500,0.2284,0.3964,0.3284,0.3112,,0.2284,0.4360,0.3217,0.0438
8,0.3324,0.3788,0.3804,0.2772,0.3144,0.3268,0.3008,0.3028,0.2772,0.2752,0.3208,0.3636,0.3276,0.2700,0.2896,0.3564,0.3188,0.3232,0.3460,0.3200,0.2880,0.2872,0.2900,0.3036,0.2860,0.2864,0.3404,0.3728,0.3000,0.3004,0.3836,0.3288,0.3688,0.3624,0.3420,0.3852,0.3260,0.3480,0.3540,0.3736,0.3360,0.3376,0.3376,0.2864,0.3628,0.3744,0.2256,0.4240,0.3164,0.3364,,0.2256,0.4240,0.3273,0.0385
9,0.3552,0.3408,0.3960,0.2528,0.2968,0.3240,0.3584,0.3196,0.2820,0.2844,0.3748,0.3864,0.3524,0.2704,0.2948,0.3608,0.3648,0.3152,0.3656,0.3144,0.3060,0.2964,0.2816,0.3160,0.3168,0.3036,0.3716,0.3188,0.3384,0.2672,0.3768,0.3328,0.3740,0.3460,0.3728,0.3724,0.3376,0.3780,0.3600,0.3152,0.3376,0.3532,0.3444,0.2884,0.3312,0.3720,0.2520,0.4304,0.3056,0.3752,,0.2520,0.4304,0.3336,0.0396
