round,cooperation0,cooperation1,cooperation2,cooperation3,cooperation4,cooperation5,cooperation6,cooperation7,cooperation8,cooperation9,cooperation10,cooperation11,cooperation12,cooperation13,cooperation14,cooperation15,cooperation16,cooperation17,cooperation18,cooperation19,cooperation20,cooperation21,cooperation22,cooperation23,cooperation24,cooperation25,cooperation26,cooperation27,cooperation28,cooperation29,cooperation30,cooperation31,cooperation32,cooperation33,cooperation34,cooperation35,cooperation36,cooperation37,cooperation38,cooperation39,cooperation40,cooperation41,cooperation42,cooperation43,cooperation44,cooperation45,cooperation46,cooperation47,cooperation48,cooperation49,cooperation50,cooperation51,cooperation52,cooperation53,cooperation54,cooperation55,cooperation56,cooperation57,cooperation58,cooperation59,cooperation60,cooperation61,cooperation62,cooperation63,cooperation64,cooperation65,cooperation66,cooperation67,cooperation68,cooperation69,cooperation70,cooperation71,cooperation72,cooperation73,cooperation74,cooperation75,cooperation76,cooperation77,cooperation78,cooperation79,cooperation80,cooperation81,cooperation82,cooperation83,cooperation84,cooperation85,cooperation86,cooperation87,cooperation88,cooperation89,cooperation90,cooperation91,cooperation92,cooperation93,cooperation94,cooperation95,cooperation96,cooperation97,cooperation98,cooperation99,,min,max,average,stdev
0,0.1965,0.2005,0.2037,0.2021,0.1895,0.2056,0.1953,0.1947,0.2056,0.2006,0.1954,0.2025,0.1948,0.1987,0.2049,0.1952,0.2013,0.1947,0.2008,0.2001,0.2001,0.2026,0.1938,0.2062,0.2010,0.1949,0.1938,0.2074,0.1987,0.2037,0.2033,0.2035,0.1977,0.1989,0.2019,0.1973,0.1948,0.2067,0.2008,0.2026,0.2017,0.2013,0.1958,0.1957,0.1927,0.2018,0.2001,0.2041,0.1932,0.1964,0.1965,0.1992,0.2000,0.1940,0.1989,0.1963,0.2016,0.1988,0.2044,0.1982,0.2013,0.2039,0.2001,0.1898,0.1947,0.1965,0.1987,0.2010,0.1954,0.2027,0.2019,0.2031,0.1973,0.1964,0.1990,0.2031,0.2013,0.1991,0.1944,0.2018,0.2080,0.2015,0.2031,0.1988,0.1937,0.2039,0.2030,0.2004,0.2028,0.1911,0.2074,0.2012,0.1990,0.2017,0.2019,0.2049,0.2044,0.2023,0.1965,0.1988,,0.1895,0.2080,0.1997,0.0040
1,0.0164,0.0126,0.0213,0.0137,0.0173,0.0201,0.0125,0.0105,0.0121,0.0188,0.0136,0.0158,0.0163,0.0196,0.0139,0.0124,0.0171,0.0155,0.0187,0.0165,0.0173,0.0142,0.0160,0.0147,0.0146,0.0131,0.0122,0.0157,0.0135,0.0133,0.0183,0.0191,0.0154,0.0130,0.0150,0.0213,0.0158,0.0151,0.0088,0.0111,0.0155,0.0192,0.0145,0.0179,0.0132,0.0136,0.0156,0.0176,0.0146,0.0170,0.0193,0.0131,0.0078,0.0135,0.0155,0.0092,0.0146,0.0150,0.0123,0.0138,0.0160,0.0178,0.0133,0.0142,0.0158,0.0180,0.0150,0.0161,0.0149,0.0144,0.0152,0.0168,0.0138,0.0103,0.0168,0.0154,0.0177,0.0170,0.0129,0.0155,0.0168,0.0092,0.0140,0.0174,0.0141,0.0144,0.0218,0.0124,0.0163,0.0141,0.0137,0.0173,0.0174,0.0150,0.0172,0.0153,0.0169,0.0139,0.0160,0.0132,,0.0078,0.0218,0.0152,0.0026
2,0.0386,0.0353,0.0508,0.0316,0.0469,0.0500,0.0318,0.0287,0.0308,0.0430,0.0389,0.0378,0.0415,0.0468,0.0308,0.0301,0.0384,0.0300,0.0465,0.0403,0.0445,0.0341,0.0402,0.0378,0.0369,0.0312,0.0320,0.0392,0.0346,0.0311,0.0479,0.0383,0.0399,0.0334,0.0425,0.0493,0.0463,0.0297,0.0219,0.0192,0.0419,0.0490,0.0392,0.0391,0.0424,0.0389,0.0379,0.0481,0.0346,0.0361,0.0414,0.0326,0.0216,0.0325,0.0445,0.0291,0.0362,0.0341,0.0336,0.0335,0.0381,0.0391,0.0332,0.0357,0.0440,0.0413,0.0374,0.0383,0.0321,0.0368,0.0344,0.0351,0.0361,0.0225,0.0455,0.0405,0.0390,0.0423,0.0361,0.0372,0.0365,0.0220,0.0388,0.0407,0.0419,0.0346,0.0525,0.0317,0.0452,0.0409,0.0386,0.0418,0.0418,0.0382,0.0385,0.0369,0.0336,0.0355,0.0423,0.0356,,0.0192,0.0525,0.0376,0.0065
3,0.0919,0.0875,0.1126,0.0783,0.1113,0.1138,0.0711,0.0683,0.0734,0.0988,0.0898,0.0861,0.0961,0.1085,0.0736,0.0667,0.0872,0.0685,0.1038,0.0983,0.0976,0.0833,0.0982,0.0941,0.0846,0.0763,0.0752,0.0914,0.0834,0.0760,0.1160,0.0887,0.0905,0.0799,0.1041,0.1135,0.1053,0.0742,0.0525,0.0500,0.0962,0.1119,0.0971,0.0913,0.1022,0.0985,0.0835,0.1127,0.0812,0.0794,0.0969,0.0762,0.0574,0.0751,0.0989,0.0712,0.0895,0.0780,0.0775,0.0757,0.0928,0.0850,0.0755,0.0851,0.1011,0.0985,0.0917,0.0871,0.0772,0.0888,0.0800,0.0828,0.0857,0.0592,0.0993,0.0948,0.0893,0.1055,0.0874,0.0846,0.0870,0.0557,0.0907,0.0899,0.1002,0.0787,0.1187,0.0719,0.1061,0.0979,0.0915,0.0939,0.0966,0.0857,0.0885,0.0930,0.0783,0.0786,0.0948,0.0856,,0.0500,0.1187,0.0881,0.0141
4,0.1658,0.1602,0.1980,0.1433,0.2007,0.1990,0.1266,0.1230,0.1326,0.1750,0.1581,0.1546,0.1703,0.1948,0.1372,0.1162,0.1596,0.1252,0.1823,0.1768,0.1682,0.1524,0.1788,0.1710,0.1490,0.1390,0.1338,0.1668,0.1531,0.1407,0.2113,0.1625,0.1595,0.1454,0.1896,0.2075,0.1864,0.1386,0.0977,0.0981,0.1693,0.1996,0.1758,0.1646,0.1842,0.1841,0.1500,0.2006,0.1491,0.1397,0.1757,0.1405,0.1113,0.1399,0.1734,0.1300,0.1649,0.1409,0.1345,0.1348,0.1675,0.1505,0.1369,0.1543,0.1754,0.1802,0.1686,0.1564,0.1451,0.1611,0.1434,0.1538,0.1543,0.1131,0.1681,0.1733,0.1593,0.1917,0.1603,0.1505,0.1608,0.1058,0.1629,0.1549,0.1793,0.1389,0.2085,0.1274,0.1898,0.1751,0.1608,0.1683,0.1747,0.1519,0.1542,0.1689,0.1427,0.1381,0.1610,0.1561,,0.0977,0.2113,0.1586,0.0242
5,0.2503,0.2456,0.2979,0.2222,0.3061,0.2947,0.1948,0.1892,0.2049,0.2616,0.2401,0.2339,0.2521,0.2944,0.2117,0.1729,0.2433,0.1968,0.2729,0.2706,0.2529,0.2376,0.2789,0.2603,0.2244,0.2124,0.2039,0.2589,0.2354,0.2178,0.3223,0.2522,0.2372,0.2266,0.2890,0.3169,0.2824,0.2171,0.1553,0.1594,0.2462,0.2967,0.2668,0.2508,0.2804,0.2826,0.2299,0.3032,0.2260,0.2120,0.2694,0.2180,0.1801,0.2223,0.2634,0.2006,0.2537,0.2193,0.2031,0.2077,0.2566,0.2277,0.2124,0.2357,0.2558,0.2786,0.2576,0.2406,0.2302,0.2482,0.2196,0.2415,0.2339,0.1798,0.2486,0.2640,0.2402,0.2859,0.2448,0.2278,0.2486,0.1664,0.2492,0.2294,0.2681,0.2074,0.3112,0.1878,0.2890,0.2657,0.2391,0.2557,0.2691,0.2314,0.2275,0.2555,0.2169,0.2082,0.2349,0.2418,,0.1553,0.3223,0.2416,0.0350
6,0.3391,0.3395,0.4062,0.3048,0.4138,0.3970,0.2692,0.2644,0.2866,0.3528,0.3270,0.3140,0.3340,0.3972,0.2973,0.2322,0.3333,0.2793,0.3643,0.3729,0.3483,0.3328,0.3917,0.3560,0.3004,0.2891,0.2830,0.3594,0.3240,0.2987,0.4398,0.3494,0.3145,0.3168,0.3978,0.4341,0.3830,0.3028,0.2222,0.2310,0.3253,0.3928,0.3612,0.3450,0.3835,0.3827,0.3176,0.4144,0.3078,0.2899,0.3688,0.2966,0.2629,0.3171,0.3556,0.2812,0.3521,0.3074,0.2769,0.2919,0.3546,0.3112,0.2961,0.3215,0.3423,0.3859,0.3448,0.3373,0.3252,0.3424,0.3008,0.3361,0.3202,0.2580,0.3343,0.3657,0.3274,0.3870,0.3371,0.3091,0.3451,0.2330,0.3422,0.3090,0.3564,0.2811,0.4178,0.2503,0.3946,0.3618,0.3227,0.3489,0.3677,0.3180,0.3023,0.3463,0.2925,0.2879,0.3136,0.3320,,0.2222,0.4398,0.3309,0.0456
7,0.4233,0.4320,0.5071,0.3868,0.5159,0.4899,0.3421,0.3402,0.3711,0.4446,0.4145,0.3982,0.4137,0.4946,0.3869,0.2886,0.4228,0.3640,0.4540,0.4716,0.4426,0.4308,0.5087,0.4516,0.3768,0.3590,0.3684,0.4534,0.4145,0.3816,0.5527,0.4473,0.3934,0.4148,0.5050,0.5469,0.4850,0.3894,0.2915,0.3089,0.4055,0.4870,0.4498,0.4387,0.4837,0.4799,0.4065,0.5138,0.3881,0.3668,0.4603,0.3780,0.3557,0.4168,0.4462,0.3700,0.4479,0.4010,0.3514,0.3836,0.4558,0.3934,0.3807,0.4071,0.4245,0.4856,0.4324,0.4379,0.4281,0.4348,0.3783,0.4292,0.4046,0.3428,0.4196,0.4690,0.4174,0.4843,0.4292,0.3929,0.4418,0.3058,0.4379,0.3908,0.4403,0.3568,0.5188,0.3135,0.5031,0.4570,0.4063,0.4352,0.4659,0.4099,0.3730,0.4324,0.3707,0.3760,0.3930,0.4227,,0.2886,0.5527,0.4201,0.0545
8,0.4960,0.5239,0.5950,0.4631,0.6153,0.5711,0.4147,0.4142,0.4535,0.5294,0.4943,0.4827,0.4894,0.5818,0.4691,0.3419,0.5041,0.4440,0.5402,0.5679,0.5262,0.5257,0.6160,0.5409,0.4515,0.4209,0.4598,0.5385,0.5017,0.4542,0.6497,0.5377,0.4620,0.5115,0.6064,0.6392,0.5727,0.4695,0.3569,0.3916,0.4868,0.5721,0.5320,0.5169,0.5805,0.5695,0.4908,0.6006,0.4652,0.4383,0.5393,0.4563,0.4532,0.5162,0.5293,0.4605,0.5344,0.4897,0.4212,0.4754,0.5511,0.4734,0.4632,0.4890,0.4928,0.5749,0.5070,0.5298,0.5282,0.5156,0.4500,0.5136,0.4851,0.4310,0.4976,0.5708,0.5061,0.5798,0.5113,0.4700,0.5290,0.3806,0.5261,0.4706,0.5113,0.4323,0.6147,0.3743,0.5939,0.5398,0.4899,0.5116,0.5526,0.4998,0.4395,0.5109,0.4431,0.4630,0.4704,0.5082,,0.3419,0.6497,0.5035,0.0610
9,0.5560,0.6089,0.6627,0.5321,0.6952,0.6365,0.4839,0.4813,0.5348,0.6070,0.5605,0.5594,0.5551,0.6513,0.5426,0.3941,0.5730,0.5158,0.6183,0.6491,0.5965,0.6120,0.7005,0.6131,0.5159,0.4788,0.5501,0.6143,0.5842,0.5118,0.7259,0.6154,0.5204,0.6009,0.6936,0.7116,0.6409,0.5442,0.4185,0.4689,0.5603,0.6401,0.6020,0.5820,0.6643,0.6450,0.5687,0.6788,0.5397,0.5019,0.6007,0.5301,0.5520,0.6128,0.6014,0.5380,0.6062,0.5723,0.4908,0.5590,0.6429,0.5412,0.5421,0.5643,0.5491,0.6513,0.5681,0.6080,0.6270,0.5914,0.5132,0.5858,0.5615,0.5188,0.5610,0.6642,0.5918,0.6621,0.5844,0.5377,0.6039,0.4549,0.6046,0.5381,0.5642,0.4980,0.7005,0.4323,0.6749,0.6102,0.5677,0.5701,0.6319,0.5831,0.5031,0.5851,0.5093,0.5413,0.5384,0.5782,,0.3941,0.7259,0.5774,0.0650
