round,cooperation0,cooperation1,cooperation2,cooperation3,cooperation4,cooperation5,cooperation6,cooperation7,cooperation8,cooperation9,cooperation10,cooperation11,cooperation12,cooperation13,cooperation14,cooperation15,cooperation16,cooperation17,cooperation18,cooperation19,cooperation20,cooperation21,cooperation22,cooperation23,cooperation24,cooperation25,cooperation26,cooperation27,cooperation28,cooperation29,cooperation30,cooperation31,cooperation32,cooperation33,cooperation34,cooperation35,cooperation36,cooperation37,cooperation38,cooperation39,cooperation40,cooperation41,cooperation42,cooperation43,cooperation44,cooperation45,cooperation46,cooperation47,cooperation48,cooperation49,cooperation50,cooperation51,cooperation52,cooperation53,cooperation54,cooperation55,cooperation56,cooperation57,cooperation58,cooperation59,cooperation60,cooperation61,cooperation62,cooperation63,cooperation64,cooperation65,cooperation66,cooperation67,cooperation68,cooperation69,cooperation70,cooperation71,cooperation72,cooperation73,cooperation74,cooperation75,cooperation76,cooperation77,cooperation78,cooperation79,cooperation80,cooperation81,cooperation82,cooperation83,cooperation84,cooperation85,cooperation86,cooperation87,cooperation88,cooperation89,cooperation90,cooperation91,cooperation92,cooperation93,cooperation94,cooperation95,cooperation96,cooperation97,cooperation98,cooperation99,,min,max,average,stdev
0,0.5032,0.4980,0.4944,0.4824,0.5004,0.4980,0.4784,0.4980,0.4904,0.4752,0.4844,0.4956,0.4908,0.4788,0.4972,0.4820,0.4664,0.4836,0.5056,0.4940,0.4824,0.4820,0.4920,0.4932,0.4808,0.4928,0.4776,0.4872,0.4964,0.4996,0.4976,0.4728,0.4748,0.4828,0.4944,0.4960,0.4808,0.4956,0.4916,0.4928,0.5096,0.4748,0.4980,0.4780,0.5044,0.5020,0.5012,0.4736,0.4912,0.5040,0.4776,0.4888,0.4872,0.4876,0.5064,0.4820,0.4888,0.4956,0.4940,0.4768,0.4984,0.4944,0.4928,0.4952,0.4920,0.4964,0.4828,0.4884,0.4928,0.5044,0.4840,0.4948,0.4776,0.4892,0.4808,0.4744,0.4840,0.4744,0.4912,0.4912,0.4884,0.5004,0.4968,0.4724,0.4848,0.4928,0.4868,0.4848,0.4848,0.4804,0.4992,0.4868,0.4760,0.4844,0.4980,0.4936,0.4616,0.4744,0.4896,0.4880,,0.4616,0.5096,0.4888,0.0096
1,0.0216,0.0240,0.0152,0.0124,0.0212,0.0188,0.0260,0.0188,0.0156,0.0268,0.0228,0.0328,0.0360,0.0184,0.0324,0.0212,0.0144,0.0200,0.0248,0.0232,0.0196,0.0224,0.0232,0.0216,0.0196,0.0216,0.0204,0.0196,0.0220,0.0236,0.0228,0.0292,0.0308,0.0192,0.0256,0.0184,0.0216,0.0176,0.0236,0.0192,0.0156,0.0196,0.0292,0.0216,0.0240,0.0336,0.0312,0.0244,0.0252,0.0212,0.0224,0.0228,0.0236,0.0232,0.0340,0.0164,0.0264,0.0192,0.0308,0.0408,0.0236,0.0228,0.0252,0.0092,0.0184,0.0248,0.0292,0.0196,0.0204,0.0268,0.0268,0.0168,0.0240,0.0176,0.0316,0.0192,0.0264,0.0180,0.0192,0.0248,0.0156,0.0272,0.0124,0.0196,0.0420,0.0240,0.0344,0.0180,0.0148,0.0168,0.0236,0.0148,0.0212,0.0368,0.0324,0.0332,0.0212,0.0292,0.0236,0.0256,,0.0092,0.0420,0.0232,0.0061
2,0.0156,0.0064,0.0012,0.0064,0.0160,0.0160,0.0236,0.0172,0.0104,0.0292,0.0272,0.0604,0.0476,0.0208,0.0400,0.0288,0.0128,0.0112,0.0144,0.0264,0.0228,0.0240,0.0164,0.0332,0.0152,0.0216,0.0272,0.0196,0.0004,0.0136,0.0048,0.0456,0.0344,0.0208,0.0248,0.0216,0.0144,0.0152,0.0236,0.0116,0.0264,0.0224,0.0408,0.0148,0.0236,0.0264,0.0512,0.0204,0.0204,0.0228,0.0160,0.0216,0.0256,0.0188,0.0512,0.0180,0.0284,0.0064,0.0268,0.0520,0.0176,0.0176,0.0348,0.0000,0.0312,0.0516,0.0208,0.0144,0.0048,0.0188,0.0288,0.0220,0.0272,0.0092,0.0288,0.0184,0.0272,0.0120,0.0124,0.0136,0.0096,0.0440,0.0072,0.0160,0.0372,0.0372,0.0428,0.0216,0.0152,0.0080,0.0120,0.0240,0.0216,0.0568,0.0308,0.0428,0.0192,0.0336,0.0300,0.0236,,0.0000,0.0604,0.0232,0.0127
3,0.0312,0.0136,0.0000,0.0144,0.0184,0.0336,0.0404,0.0324,0.0192,0.0516,0.0532,0.1204,0.0816,0.0416,0.0792,0.0536,0.0288,0.0064,0.0312,0.0512,0.0476,0.0492,0.0244,0.0592,0.0316,0.0368,0.0480,0.0468,0.0000,0.0176,0.0120,0.0820,0.0640,0.0348,0.0456,0.0456,0.0200,0.0312,0.0432,0.0188,0.0512,0.0528,0.0832,0.0256,0.0472,0.0400,0.0980,0.0344,0.0356,0.0404,0.0304,0.0456,0.0504,0.0356,0.0992,0.0324,0.0536,0.0128,0.0428,0.0892,0.0336,0.0328,0.0560,0.0000,0.0580,0.1004,0.0372,0.0312,0.0096,0.0348,0.0576,0.0448,0.0516,0.0168,0.0472,0.0296,0.0600,0.0240,0.0220,0.0368,0.0240,0.0864,0.0144,0.0328,0.0612,0.0704,0.0892,0.0440,0.0312,0.0168,0.0256,0.0504,0.0328,0.1008,0.0564,0.0860,0.0380,0.0548,0.0584,0.0472,,0.0000,0.1204,0.0437,0.0243
4,0.0536,0.0240,0.0000,0.0256,0.0328,0.0576,0.0636,0.0540,0.0312,0.0852,0.0892,0.1896,0.1316,0.0736,0.1344,0.0904,0.0512,0.0044,0.0544,0.0856,0.0740,0.0788,0.0356,0.0868,0.0560,0.0592,0.0796,0.0868,0.0000,0.0280,0.0224,0.1420,0.1056,0.0568,0.0776,0.0800,0.0300,0.0536,0.0744,0.0292,0.0856,0.0960,0.1328,0.0368,0.0808,0.0644,0.1608,0.0552,0.0496,0.0644,0.0520,0.0792,0.0780,0.0588,0.1608,0.0544,0.0888,0.0224,0.0668,0.1592,0.0560,0.0544,0.0936,0.0000,0.0960,0.1636,0.0604,0.0544,0.0184,0.0624,0.0992,0.0776,0.0804,0.0280,0.0784,0.0460,0.1056,0.0360,0.0348,0.0564,0.0448,0.1404,0.0256,0.0560,0.0912,0.1132,0.1508,0.0760,0.0536,0.0288,0.0456,0.0864,0.0592,0.1604,0.0944,0.1496,0.0604,0.0876,0.1020,0.0784,,0.0000,0.1896,0.0724,0.0400
5,0.0824,0.0376,0.0000,0.0400,0.0440,0.0880,0.0932,0.0820,0.0464,0.1256,0.1212,0.2692,0.1704,0.1152,0.2016,0.1348,0.0800,0.0044,0.0840,0.1296,0.1140,0.1140,0.0480,0.1252,0.0840,0.0872,0.1180,0.1396,0.0000,0.0424,0.0360,0.1848,0.1464,0.0864,0.1180,0.1240,0.0436,0.0824,0.1144,0.0428,0.1296,0.1520,0.1984,0.0560,0.1120,0.0992,0.2580,0.0724,0.0748,0.0940,0.0800,0.1216,0.1184,0.0876,0.2348,0.0840,0.1300,0.0344,0.0956,0.2256,0.0848,0.0796,0.1252,0.0000,0.1484,0.2316,0.0892,0.0840,0.0304,0.0968,0.1536,0.1192,0.1148,0.0424,0.1140,0.0644,0.1640,0.0560,0.0508,0.0960,0.0720,0.2104,0.0400,0.0848,0.1368,0.1680,0.2300,0.1168,0.0824,0.0440,0.0640,0.1320,0.0832,0.2276,0.1436,0.2196,0.0940,0.1292,0.1584,0.1000,,0.0000,0.2692,0.1074,0.0582
6,0.1176,0.0544,0.0000,0.0576,0.0676,0.1248,0.1292,0.1156,0.0648,0.1584,0.1736,0.3484,0.2276,0.1648,0.2840,0.2028,0.1152,0.0044,0.1200,0.1832,0.1476,0.1588,0.0640,0.1692,0.1232,0.1208,0.1612,0.2044,0.0000,0.0600,0.0528,0.2472,0.2056,0.1224,0.1648,0.1776,0.0604,0.1176,0.1616,0.0588,0.1832,0.2208,0.2848,0.0828,0.1464,0.1412,0.3024,0.1000,0.1068,0.1204,0.1144,0.1592,0.1520,0.1228,0.3092,0.1200,0.1740,0.0488,0.1312,0.3340,0.1200,0.1004,0.1552,0.0000,0.2104,0.3204,0.1244,0.1200,0.0448,0.1432,0.2200,0.1696,0.1588,0.0600,0.1576,0.0876,0.2304,0.0852,0.0700,0.1200,0.1056,0.2752,0.0576,0.1200,0.1856,0.2348,0.3220,0.1656,0.1176,0.0624,0.0912,0.1872,0.1216,0.3004,0.1928,0.3144,0.1392,0.1780,0.2216,0.1392,,0.0000,0.3484,0.1488,0.0784
7,0.1592,0.0744,0.0000,0.0784,0.0816,0.1680,0.1716,0.1556,0.0864,0.2064,0.2236,0.4320,0.2832,0.1984,0.3496,0.2592,0.1568,0.0044,0.1624,0.2408,0.1996,0.2020,0.0832,0.2160,0.1748,0.1608,0.2132,0.2812,0.0000,0.0808,0.0728,0.3116,0.2640,0.1648,0.2240,0.2408,0.0804,0.1592,0.2188,0.0780,0.2456,0.3024,0.3768,0.1144,0.1756,0.1924,0.3888,0.1240,0.1448,0.1604,0.1552,0.2088,0.2040,0.1644,0.3972,0.1624,0.2232,0.0672,0.1736,0.3972,0.1616,0.1360,0.2020,0.0000,0.2732,0.3984,0.1500,0.1624,0.0624,0.1940,0.2988,0.2296,0.2056,0.0808,0.2144,0.1072,0.2904,0.1192,0.0924,0.1672,0.1456,0.3416,0.0784,0.1616,0.2408,0.3040,0.4268,0.2196,0.1592,0.0840,0.1076,0.2312,0.1584,0.3728,0.2576,0.4056,0.1924,0.2372,0.2616,0.1768,,0.0000,0.4320,0.1940,0.0984
8,0.2072,0.0976,0.0000,0.1024,0.1132,0.2176,0.2204,0.2020,0.1112,0.2588,0.2792,0.4956,0.3464,0.2496,0.4388,0.3372,0.2048,0.0044,0.2112,0.3148,0.2548,0.2596,0.1056,0.2772,0.2184,0.2072,0.2512,0.3468,0.0000,0.1048,0.0960,0.3864,0.3316,0.2136,0.2920,0.3136,0.1036,0.2072,0.2860,0.1004,0.2884,0.3600,0.4980,0.1524,0.2244,0.2524,0.4380,0.1584,0.1896,0.1892,0.2024,0.2612,0.2416,0.2124,0.4580,0.2104,0.2704,0.0888,0.2224,0.4984,0.2096,0.1600,0.2360,0.0000,0.3288,0.4972,0.1904,0.2112,0.0832,0.2440,0.3900,0.2960,0.2500,0.1048,0.2640,0.1404,0.3728,0.1592,0.1180,0.2044,0.1920,0.4124,0.1024,0.2096,0.2996,0.3888,0.5084,0.2816,0.2072,0.1088,0.1436,0.2928,0.2120,0.4248,0.3232,0.5000,0.2532,0.3060,0.3288,0.2224,,0.0000,0.5084,0.2436,0.1181
9,0.2616,0.1240,0.0000,0.1296,0.1300,0.2728,0.2756,0.2548,0.1392,0.2984,0.3272,0.5456,0.4060,0.2856,0.5120,0.3900,0.2592,0.0044,0.2656,0.3932,0.2952,0.3156,0.1304,0.3308,0.2824,0.2600,0.3132,0.4244,0.0000,0.1320,0.1224,0.4732,0.3988,0.2688,0.3696,0.3960,0.1300,0.2616,0.3628,0.1260,0.3540,0.4280,0.5888,0.1952,0.2640,0.3144,0.4972,0.1936,0.2408,0.2396,0.2560,0.3084,0.3096,0.2668,0.5592,0.2472,0.3280,0.1136,0.2776,0.5156,0.2640,0.2032,0.2908,0.0000,0.3844,0.5296,0.2160,0.2664,0.1072,0.2944,0.4880,0.3568,0.3088,0.1320,0.3216,0.1672,0.4400,0.2036,0.1468,0.2556,0.2272,0.4912,0.1296,0.2640,0.3676,0.4820,0.5992,0.3496,0.2616,0.1368,0.1772,0.3416,0.2548,0.4732,0.4044,0.5940,0.2920,0.3792,0.3600,0.2820,,0.0000,0.5992,0.2941,0.1351
