round,cooperation0,cooperation1,cooperation2,cooperation3,cooperation4,cooperation5,cooperation6,cooperation7,cooperation8,cooperation9,cooperation10,cooperation11,cooperation12,cooperation13,cooperation14,cooperation15,cooperation16,cooperation17,cooperation18,cooperation19,cooperation20,cooperation21,cooperation22,cooperation23,cooperation24,cooperation25,cooperation26,cooperation27,cooperation28,cooperation29,cooperation30,cooperation31,cooperation32,cooperation33,cooperation34,cooperation35,cooperation36,cooperation37,cooperation38,cooperation39,cooperation40,cooperation41,cooperation42,cooperation43,cooperation44,cooperation45,cooperation46,cooperation47,cooperation48,cooperation49,cooperation50,cooperation51,cooperation52,cooperation53,cooperation54,cooperation55,cooperation56,cooperation57,cooperation58,cooperation59,cooperation60,cooperation61,cooperation62,cooperation63,cooperation64,cooperation65,cooperation66,cooperation67,cooperation68,cooperation69,cooperation70,cooperation71,cooperation72,cooperation73,cooperation74,cooperation75,cooperation76,cooperation77,cooperation78,cooperation79,cooperation80,cooperation81,cooperation82,cooperation83,cooperation84,cooperation85,cooperation86,cooperation87,cooperation88,cooperation89,cooperation90,cooperation91,cooperation92,cooperation93,cooperation94,cooperation95,cooperation96,cooperation97,cooperation98,cooperation99,,min,max,average,stdev
0,0.4936,0.4984,0.5056,0.5028,0.4920,0.4932,0.5040,0.4916,0.5080,0.4796,0.4992,0.4812,0.4992,0.5024,0.4932,0.5016,0.4956,0.4936,0.4800,0.4764,0.4976,0.4948,0.4836,0.5028,0.4960,0.4876,0.4912,0.4952,0.4888,0.4940,0.4984,0.4624,0.4852,0.4776,0.4968,0.4852,0.4952,0.4992,0.4924,0.4964,0.4872,0.4856,0.4868,0.5048,0.4984,0.4740,0.4732,0.5096,0.4924,0.4880,0.4936,0.5140,0.4836,0.4920,0.5060,0.4868,0.4920,0.5024,0.4956,0.4928,0.4968,0.4880,0.4940,0.4964,0.4872,0.4952,0.4788,0.5080,0.4756,0.4848,0.4964,0.4860,0.4916,0.4812,0.4988,0.4912,0.4880,0.4908,0.4880,0.4688,0.4832,0.5128,0.4916,0.4920,0.4844,0.4892,0.4904,0.4928,0.4904,0.5040,0.4884,0.4976,0.4792,0.4736,0.4928,0.4936,0.4808,0.4888,0.4980,0.5140,,0.4624,0.5140,0.4919,0.0096
1,0.1648,0.1852,0.1596,0.1616,0.1652,0.1764,0.2004,0.1712,0.1732,0.1508,0.1608,0.1612,0.1672,0.2016,0.1760,0.1820,0.1504,0.1528,0.1552,0.1672,0.1788,0.1700,0.1556,0.2076,0.1744,0.1704,0.1832,0.1772,0.1720,0.1756,0.1824,0.1780,0.1764,0.1744,0.1668,0.1604,0.1876,0.1908,0.1688,0.1808,0.1740,0.1452,0.1620,0.1532,0.1608,0.1744,0.1608,0.1800,0.1568,0.1588,0.1712,0.1988,0.1584,0.1652,0.1812,0.1600,0.1736,0.1928,0.1732,0.1908,0.1676,0.1496,0.1864,0.1632,0.1376,0.1680,0.2160,0.1692,0.1704,0.1732,0.1808,0.1824,0.1664,0.1676,0.1736,0.1772,0.1792,0.1792,0.1584,0.1472,0.1744,0.2032,0.1844,0.1820,0.1724,0.1608,0.1684,0.1680,0.1640,0.1692,0.1916,0.1628,0.1784,0.1772,0.1776,0.1728,0.1820,0.1812,0.1960,0.1692,,0.1376,0.2160,0.1725,0.0138
2,0.1152,0.1340,0.0964,0.0932,0.1276,0.1172,0.1296,0.1196,0.1440,0.1020,0.1040,0.1112,0.1328,0.1476,0.1124,0.1196,0.0900,0.1116,0.1012,0.1080,0.1280,0.1068,0.0976,0.1472,0.1240,0.1312,0.1380,0.1128,0.1436,0.1400,0.1140,0.1412,0.0972,0.1172,0.1280,0.1036,0.1648,0.1312,0.1184,0.1324,0.1192,0.1132,0.1184,0.0952,0.1056,0.1356,0.1360,0.1244,0.1256,0.1104,0.1144,0.1468,0.1008,0.1172,0.1404,0.1292,0.1216,0.1592,0.1112,0.1328,0.1200,0.0856,0.1384,0.1044,0.0852,0.0892,0.1840,0.1004,0.1300,0.1012,0.1244,0.1320,0.1296,0.1164,0.1348,0.1188,0.1176,0.1296,0.0956,0.0952,0.1340,0.1476,0.1292,0.1296,0.1148,0.0976,0.1208,0.1308,0.1096,0.0936,0.1380,0.1040,0.1104,0.1224,0.1268,0.1320,0.1432,0.1444,0.1168,0.1192,,0.0852,0.1840,0.1209,0.0180
3,0.1388,0.1360,0.1096,0.0948,0.1476,0.1272,0.1148,0.1404,0.1588,0.1208,0.1188,0.1244,0.1424,0.1448,0.1108,0.1244,0.1096,0.1232,0.1216,0.1200,0.1364,0.1200,0.0940,0.1428,0.1448,0.1292,0.1492,0.1252,0.1528,0.1580,0.1116,0.1448,0.0784,0.1396,0.1248,0.1064,0.1972,0.1312,0.1312,0.1616,0.1348,0.1320,0.1264,0.0996,0.1184,0.1604,0.1756,0.1260,0.1580,0.1216,0.1260,0.1696,0.1152,0.1260,0.1576,0.1500,0.1176,0.1824,0.1116,0.1392,0.1344,0.0740,0.1668,0.0920,0.0904,0.0956,0.2040,0.1060,0.1480,0.1140,0.1228,0.1440,0.1348,0.1172,0.1448,0.1360,0.1184,0.1296,0.1004,0.0936,0.1648,0.1580,0.1252,0.1360,0.1280,0.1028,0.1344,0.1568,0.1204,0.0960,0.1484,0.1052,0.1080,0.1360,0.1368,0.1600,0.1492,0.1568,0.1152,0.1244,,0.0740,0.2040,0.1309,0.0238
4,0.1716,0.1572,0.1452,0.1096,0.1652,0.1532,0.1332,0.1748,0.2008,0.1516,0.1464,0.1568,0.1716,0.1640,0.1300,0.1464,0.1440,0.1412,0.1596,0.1364,0.1668,0.1580,0.1116,0.1696,0.1756,0.1436,0.1752,0.1564,0.1744,0.1912,0.1192,0.1716,0.0852,0.1624,0.1464,0.1276,0.2444,0.1516,0.1624,0.2052,0.1680,0.1748,0.1484,0.1168,0.1408,0.2056,0.2208,0.1528,0.2200,0.1436,0.1588,0.2172,0.1468,0.1488,0.1800,0.1980,0.1328,0.2268,0.1396,0.1612,0.1616,0.0856,0.2212,0.0904,0.1080,0.1152,0.2340,0.1268,0.1892,0.1368,0.1464,0.1744,0.1484,0.1192,0.1652,0.1656,0.1480,0.1428,0.1244,0.1128,0.2016,0.1956,0.1436,0.1716,0.1476,0.1192,0.1684,0.2044,0.1600,0.1300,0.1844,0.1216,0.1268,0.1700,0.1588,0.2052,0.1812,0.1688,0.1328,0.1416,,0.0852,0.2444,0.1581,0.0320
5,0.2072,0.2104,0.1960,0.1344,0.2008,0.1900,0.1692,0.2304,0.2552,0.1804,0.1892,0.1972,0.2216,0.1960,0.1644,0.1812,0.1844,0.1724,0.2112,0.1756,0.1952,0.2020,0.1468,0.2048,0.2164,0.1756,0.2196,0.1848,0.2092,0.2400,0.1380,0.2236,0.1108,0.2036,0.1792,0.1716,0.2996,0.1888,0.2008,0.2688,0.2076,0.2168,0.1724,0.1500,0.1800,0.2632,0.2824,0.1816,0.2848,0.1824,0.2036,0.2792,0.1940,0.1772,0.2200,0.2328,0.1692,0.2840,0.1744,0.2016,0.1876,0.1080,0.2860,0.1056,0.1376,0.1436,0.2796,0.1604,0.2508,0.1692,0.1864,0.2168,0.1716,0.1432,0.1844,0.1992,0.1856,0.1560,0.1648,0.1340,0.2512,0.2244,0.1680,0.2180,0.1864,0.1516,0.2076,0.2564,0.2060,0.1668,0.2224,0.1544,0.1484,0.2124,0.2052,0.2540,0.2264,0.2060,0.1596,0.1764,,0.1056,0.2996,0.1968,0.0409
6,0.2492,0.2640,0.2616,0.1616,0.2324,0.2288,0.2092,0.2808,0.3224,0.2268,0.2448,0.2424,0.2924,0.2452,0.2080,0.2216,0.2356,0.2132,0.2544,0.2308,0.2396,0.2508,0.1876,0.2332,0.2572,0.2272,0.2668,0.2160,0.2416,0.2880,0.1728,0.2788,0.1324,0.2588,0.2312,0.2140,0.3400,0.2252,0.2468,0.3316,0.2448,0.2568,0.2084,0.1876,0.2252,0.3160,0.3396,0.2108,0.3376,0.2336,0.2588,0.3532,0.2436,0.2104,0.2564,0.2724,0.2156,0.3376,0.2044,0.2500,0.2204,0.1292,0.3476,0.1348,0.1792,0.1712,0.3452,0.1992,0.3204,0.2124,0.2356,0.2592,0.2044,0.1804,0.2240,0.2468,0.2272,0.1700,0.2100,0.1656,0.2792,0.2504,0.1936,0.2792,0.2160,0.1980,0.2468,0.3024,0.2460,0.2136,0.2620,0.1904,0.1800,0.2460,0.2640,0.2992,0.2748,0.2428,0.1908,0.2148,,0.1292,0.3532,0.2400,0.0484
7,0.2932,0.3248,0.3308,0.1876,0.2760,0.2692,0.2436,0.3348,0.3752,0.2700,0.2940,0.2860,0.3588,0.2996,0.2468,0.2612,0.2820,0.2536,0.2936,0.2876,0.2748,0.3100,0.2380,0.2552,0.2940,0.2820,0.3184,0.2604,0.2776,0.3344,0.2104,0.3152,0.1472,0.2924,0.2784,0.2584,0.3828,0.2588,0.2968,0.3820,0.2796,0.3136,0.2536,0.2208,0.2756,0.3644,0.3724,0.2536,0.3920,0.2836,0.3180,0.3996,0.2944,0.2420,0.2828,0.3164,0.2664,0.3848,0.2512,0.3008,0.2596,0.1620,0.3888,0.1636,0.2356,0.1984,0.3936,0.2388,0.3772,0.2576,0.2864,0.3092,0.2344,0.2252,0.2608,0.2856,0.2552,0.1924,0.2688,0.1892,0.3144,0.2792,0.2280,0.3348,0.2544,0.2504,0.2816,0.3544,0.2992,0.2580,0.3044,0.2304,0.2040,0.2940,0.3148,0.3392,0.3204,0.2800,0.2208,0.2632,,0.1472,0.3996,0.2831,0.0536
8,0.3292,0.3824,0.4016,0.2040,0.3320,0.3196,0.2716,0.3736,0.4156,0.3040,0.3404,0.3320,0.4124,0.3440,0.2820,0.3052,0.3288,0.2928,0.3352,0.3496,0.3340,0.3728,0.2876,0.2604,0.3384,0.3260,0.3612,0.2988,0.3196,0.3752,0.2600,0.3424,0.1652,0.3432,0.3340,0.3016,0.4084,0.3072,0.3428,0.4088,0.3260,0.3664,0.3116,0.2612,0.3344,0.3888,0.4104,0.3012,0.4324,0.3144,0.3712,0.4260,0.3540,0.2864,0.3240,0.3536,0.3148,0.4236,0.2836,0.3444,0.2988,0.1924,0.4324,0.2000,0.2788,0.2316,0.4160,0.2900,0.3996,0.3120,0.3304,0.3500,0.2704,0.2612,0.2908,0.3256,0.2596,0.2204,0.3372,0.2156,0.3508,0.3008,0.2680,0.3800,0.2988,0.3060,0.3196,0.3872,0.3484,0.2976,0.3332,0.2688,0.2292,0.3312,0.3612,0.3764,0.3648,0.3420,0.2328,0.3040,,0.1652,0.4324,0.3239,0.0563
9,0.3656,0.4244,0.4428,0.2296,0.3744,0.3656,0.3056,0.4096,0.4540,0.3236,0.3888,0.3872,0.4628,0.3924,0.3160,0.3504,0.3736,0.3260,0.3820,0.4044,0.3812,0.4224,0.3352,0.2836,0.3516,0.3836,0.4144,0.3232,0.3556,0.4120,0.2844,0.3664,0.1824,0.3732,0.3780,0.3460,0.4204,0.3464,0.3724,0.4360,0.3572,0.3948,0.3696,0.2896,0.3780,0.3944,0.4392,0.3308,0.4436,0.3588,0.4076,0.4292,0.4004,0.3464,0.3640,0.3828,0.3452,0.4368,0.3056,0.3932,0.3432,0.2252,0.4800,0.2352,0.3340,0.2656,0.4532,0.3356,0.4304,0.3540,0.3692,0.3780,0.3096,0.2920,0.3164,0.3548,0.2884,0.2396,0.4032,0.2468,0.3768,0.3336,0.3076,0.4312,0.3256,0.3552,0.3504,0.4124,0.3688,0.3364,0.3660,0.3104,0.2508,0.3608,0.4008,0.4080,0.4128,0.3832,0.2640,0.3420,,0.1824,0.4800,0.3597,0.0579
