Random,EGreedy 0.0,EGreedy 0.1,EGreedy 0.2,Softmax 1,Softmax 0.1,Arm 4 mean
0.0718394294,0.0494648894,0.0663499556,0.1042105941,0.0511199164,0.0678293222,0.3
0.1278981323,-0.033760645,-0.0028443517,0.032381249,0.0231821868,-0.0258766091,0.3
0.1579414633,-0.0743529403,-0.0652338124,0.0100751289,-0.00432373,-0.0669522159,0.3
0.2010956944,-0.1089344207,-0.0868149473,-0.0205429596,-0.0464388991,-0.0938784071,0.3
0.2280539841,-0.1246432094,-0.1017671711,-0.0488002913,-0.0734399696,-0.111883811,0.3
0.2501127184,-0.1357860678,-0.1078049055,-0.0684734432,-0.0844609763,-0.1262015191,0.3
0.2866573066,-0.1413975775,-0.1283433922,-0.0781916586,-0.0977603942,-0.1408935332,0.3
0.2866651784,-0.1451117592,-0.1424180336,-0.1039590248,-0.1074439081,-0.1438498788,0.3
0.2915211174,-0.1501401175,-0.153043479,-0.1056965703,-0.1259243425,-0.1506036299,0.3
0.3090918573,-0.1544497904,-0.1533619037,-0.1212359941,-0.1522479435,-0.1570658944,0.3
0.3157272575,-0.1587472457,-0.1736532625,-0.1135518129,-0.1808619347,-0.1598800716,0.3
0.3128194744,-0.1623133737,-0.1799250169,-0.125367475,-0.1910933136,-0.1650028286,0.3
0.2982251799,-0.1643529169,-0.1795886347,-0.1277421945,-0.2041136696,-0.1723893205,0.3
0.3026686499,-0.1673723185,-0.1855843603,-0.1229681253,-0.2304805254,-0.1719737828,0.3
0.3035318052,-0.1688269062,-0.1927238852,-0.1279095857,-0.2292271009,-0.1760004678,0.3
0.3058311948,-0.1716586913,-0.1962774793,-0.1481320484,-0.2380916823,-0.1783030407,0.3
0.3084036099,-0.1725897601,-0.1972032802,-0.1457723156,-0.2465008365,-0.1805713644,0.3
0.3102687543,-0.1748443998,-0.201787366,-0.1450717587,-0.2594764593,-0.1866204982,0.3
0.3012853272,-0.1749848529,-0.2024091918,-0.1535926156,-0.2676650075,-0.188017851,0.3
0.3141704623,-0.1758172037,-0.2067880445,-0.1514737107,-0.2653511201,-0.188398635,0.3
0.3234197451,-0.1767222877,-0.2138515351,-0.1504754565,-0.2716871955,-0.1899065257,0.3
0.3206698111,-0.1768603319,-0.2095902801,-0.1485433149,-0.2792969958,-0.189864018,0.3
0.3208921032,-0.1781093661,-0.2033430067,-0.1430825767,-0.2851596257,-0.1901014575,0.3
0.3145976857,-0.1789171058,-0.1970664067,-0.1406240287,-0.2860124365,-0.190189893,0.3
0.3171506251,-0.1793678534,-0.207424928,-0.130704406,-0.2885607626,-0.1898746712,0.3
0.3187251001,-0.1800603445,-0.2035926692,-0.1395710697,-0.2931854171,-0.18936394,0.3
0.3179596517,-0.1800048603,-0.1943888338,-0.1407734393,-0.2890452204,-0.1945726602,0.3
0.3146961012,-0.1809988782,-0.1988255398,-0.1386999527,-0.2903615394,-0.1943694517,0.3
0.3122502117,-0.1823145663,-0.2041421972,-0.1417009055,-0.2876352164,-0.1969152925,0.3
0.3091385618,-0.1828943696,-0.2052085592,-0.1318840743,-0.2945200105,-0.1980082781,0.3
0.3092120855,-0.1838691405,-0.2098691475,-0.1219633634,-0.2948309582,-0.1995007319,0.3
0.3123847842,-0.1840877085,-0.2044538588,-0.1134323553,-0.2951743164,-0.2001630021,0.3
0.3069760497,-0.1847286934,-0.2030753682,-0.1065997014,-0.2995052296,-0.2015356308,0.3
0.3146927802,-0.1848971728,-0.2074018428,-0.1051686139,-0.297091358,-0.2009772585,0.3
0.3116409656,-0.1856027444,-0.2102363914,-0.094842863,-0.2948160058,-0.2020325669,0.3
0.3119229444,-0.1858210527,-0.2036997038,-0.0934246607,-0.29408305,-0.20161105,0.3
0.3124527522,-0.1858163133,-0.1954566784,-0.0876945469,-0.2875372985,-0.2033842408,0.3
0.3115956236,-0.1861373138,-0.1934842757,-0.0901401797,-0.2929508922,-0.2052879337,0.3
0.3091905315,-0.1861229733,-0.1909053564,-0.0853823592,-0.2934258151,-0.206027055,0.3
0.3115762867,-0.186427716,-0.1941039191,-0.0791003986,-0.2952219628,-0.2064832346,0.3
0.3130743618,-0.1868691715,-0.1840897138,-0.0698839586,-0.2911180688,-0.2066998273,0.3
0.319197516,-0.1873357436,-0.1808095326,-0.0747332964,-0.290002896,-0.2072189233,0.3
0.3193732496,-0.1879760251,-0.1853716658,-0.0581211252,-0.29330015,-0.2060832064,0.3
0.3219872303,-0.18790755,-0.1795606132,-0.0530512636,-0.2888762728,-0.204147072,0.3
0.3203297735,-0.1880335223,-0.1788601803,-0.0500827232,-0.2938436591,-0.2077261066,0.3
0.3232619393,-0.1884384669,-0.177015609,-0.0436668459,-0.2943444827,-0.2079342974,0.3
0.3238370134,-0.1885239194,-0.1748070813,-0.0355467771,-0.291612762,-0.2081698009,0.3
0.3265793642,-0.1887942491,-0.1730636528,-0.0339124221,-0.2870189835,-0.2091815122,0.3
