random,egreedy 0,egreedy 0.1,egreedy 0.2,Softmax 1,Softmax 0.1
0.789367068,0.7853549818,0.7517603463,0.8044981118,0.8142906208,0.8288952373
0.7819220386,0.8210886325,0.8029342706,0.8473845364,0.8234652013,0.8606423661
0.7925429781,0.8274891876,0.8317598866,0.8603119586,0.8285140169,0.8672193366
0.8023638526,0.8402674582,0.8510135235,0.8724169319,0.8441458006,0.8739254615
0.7981074819,0.8444812588,0.8646334831,0.8857402125,0.8512868269,0.8897276935
0.8044746877,0.8538799914,0.8757753323,0.8916677343,0.8565486616,0.8958127749
0.8049422431,0.8629513747,0.8823454831,0.8973591762,0.8620401161,0.9051965067
0.8029393014,0.8732573812,0.8869504201,0.907447763,0.8738750102,0.9116925925
0.8011285359,0.8749571686,0.8925820783,0.913572402,0.8793923216,0.9163383554
0.8021606749,0.8780584568,0.8991894755,0.9214609924,0.8862525603,0.9237831622
0.800428953,0.8798091896,0.9057692333,0.9255710752,0.8907064858,0.9294171734
0.8016738623,0.8798289668,0.9101897537,0.9310127277,0.8954401516,0.9337092461
0.8026910307,0.8846040232,0.9149388078,0.9373461341,0.898876112,0.9397798936
0.8038496398,0.889240736,0.9218238306,0.9399730544,0.9013452261,0.9438644913
0.8010053428,0.8909777386,0.9276876946,0.9451919127,0.908401895,0.9464094734
0.7976760528,0.8905139548,0.9315883008,0.950038697,0.9098336927,0.9479216337
0.7996844819,0.8931970894,0.935073907,0.9522966077,0.9128388442,0.9517778735
0.7999621411,0.8933490773,0.9406012784,0.9566527936,0.9132114102,0.9534638123
0.8003783673,0.8927972051,0.9462922962,0.9611955621,0.9169999167,0.954155613
0.8010688363,0.8937781669,0.9482244058,0.9658276764,0.9201292364,0.9544312129
0.8011666237,0.8952207829,0.9529960713,0.9695136101,0.9232992278,0.9566116227
0.802604909,0.8980592948,0.958008823,0.9730633092,0.9234278957,0.9604228093
0.8020411022,0.8999959401,0.9612890795,0.9779315776,0.9247040877,0.9627973192
0.8019299984,0.9020164628,0.9652118275,0.9807635301,0.9284774097,0.9657836465
0.8009861891,0.9021149733,0.9677221165,0.9834280616,0.9274124938,0.9682367058
0.8014177941,0.903396752,0.9710513553,0.9864379991,0.9298603757,0.9695036741
0.7999363213,0.9049106476,0.9741298953,0.988807249,0.9307648167,0.9706705115
0.7996728543,0.9055419073,0.9773050741,0.9920544448,0.9315472944,0.9725461771
0.7999852338,0.9062247023,0.978995052,0.9950725533,0.9326201813,0.9743641154
0.7990447122,0.9071124344,0.9819874278,0.9981444542,0.9332125373,0.9770713117
0.7998778771,0.9068065972,0.9841255736,1.0008817092,0.9344269498,0.9792487706
0.8005725191,0.9080277606,0.9872580494,1.0052107627,0.9361446703,0.9803974013
0.8008531267,0.90761445,0.9902962768,1.007921067,0.9360442565,0.9826818201
0.802173977,0.9082389006,0.99374706,1.0119281982,0.9370404798,0.9838200376
0.8015251366,0.9096177094,0.9967712385,1.0145732303,0.9379577808,0.9846357984
0.8008753009,0.9096212796,1.0000242373,1.0177716912,0.9389021152,0.9859985572
0.8008861776,0.9095640777,1.0017854282,1.0196838174,0.9394470715,0.9879314698
0.8006654791,0.9100542541,1.0038144625,1.0222138414,0.9403198754,0.9895000218
0.8013575762,0.9105560477,1.0055248825,1.0240931512,0.9410147789,0.9911680301
0.8012864716,0.9114317416,1.0079497598,1.0264716,0.9424130221,0.9929800013
0.8001124981,0.9113548454,1.0104382066,1.0285651249,0.9422607556,0.9950227912
0.8007643922,0.9117218068,1.0128962598,1.0299317674,0.9437094415,0.9967292178
0.8012350787,0.9118784706,1.0151989374,1.0316158818,0.9445181061,0.9984599382
0.8008412901,0.9121285921,1.0174704991,1.0337458039,0.9452306698,1.0002490546
0.8008784884,0.9120185116,1.0193926092,1.0354479544,0.9464308461,1.0009091681
0.7998717008,0.9125485916,1.0218115221,1.0373391685,0.9466428877,1.0022873602
0.8001826856,0.9125050308,1.0239111773,1.0387265228,0.947886172,1.0036691797
0.7996535687,0.9119524116,1.026189551,1.0402934888,0.9491343439,1.0054215947
0.7991515415,0.9117060931,1.0280114674,1.0417362519,0.949773925,1.006794152
0.7987302008,0.9117059915,1.0298409194,1.0436517132,0.9503042461,1.0079496885
0.7995808909,0.9115361315,1.0315075455,1.0457778192,0.950721313,1.0093471038
0.7995145769,0.9111073614,1.0331189538,1.0469044386,0.9516798452,1.0109467579
0.7996743901,0.9109851342,1.0354021027,1.0491941714,0.9524238608,1.0122991456
0.8001483448,0.9109379278,1.0373327662,1.0502045375,0.9525579649,1.0137270925
0.7999573556,0.9110391978,1.0390246199,1.0513240901,0.9527400348,1.0148885602
0.8003527435,0.9113871873,1.0405503614,1.0529472146,0.9532837704,1.0162098276
0.8007025634,0.9115680686,1.0424435966,1.0538423811,0.9535585061,1.0169602599
0.8015445765,0.9118635896,1.0442626019,1.0553272199,0.9539928818,1.0183063053
0.8011765124,0.9124089219,1.0454686801,1.0567326518,0.9543130831,1.0193056437
0.8009709952,0.9126059481,1.0466709153,1.0575848677,0.9547438949,1.0206065409
0.8008882171,0.9130575265,1.0479029427,1.05881556,0.954688592,1.0216735654
0.801013568,0.9130578132,1.0487014726,1.0603012084,0.9543599364,1.022662346
0.8014225048,0.9131302924,1.0499108881,1.0611209409,0.9547091465,1.0236183049
0.8018775907,0.9130827751,1.0510499597,1.0619720404,0.955128522,1.0243955364
0.8018426729,0.9129603395,1.0527626987,1.0632111929,0.9556474864,1.0251616866
0.8023089077,0.9129490719,1.0541184314,1.0643762489,0.9558168022,1.0261216059
0.8019320537,0.9129404329,1.0557744402,1.0657272497,0.9564212832,1.0270632553
0.8023041595,0.9134409234,1.0569160446,1.0663058979,0.9565930143,1.0282028773
0.8027002393,0.9136900018,1.0585212958,1.0670161517,0.9570509034,1.0286980332
0.8028008284,0.9133370414,1.0598907073,1.0686855838,0.9574220133,1.0294924328
0.8026242444,0.9136699374,1.0613189995,1.0704855915,0.957424791,1.0303020892
0.8030063132,0.9138729547,1.0629569705,1.0719006258,0.9574537339,1.0313176618
0.8023185074,0.9139399846,1.0644485723,1.0725485786,0.958084373,1.0321187384
0.8018312693,0.9142687756,1.0657999507,1.0734215256,0.9584538015,1.0329466467
0.8021590457,0.9141189437,1.0670803673,1.0744301143,0.9584632208,1.0335638509
0.8020603458,0.9138784102,1.0685355165,1.0747426111,0.9583510485,1.0344114094
0.8024112878,0.9140393289,1.0696257509,1.0756905139,0.9586887489,1.0351087853
0.8025583625,0.9137474224,1.071073047,1.0768017036,0.958942894,1.0359481529
0.8021263214,0.9137756199,1.0724684938,1.0771810534,0.959134216,1.0363052158
0.802541949,0.9139978012,1.0731396349,1.0779036198,0.9590893031,1.0368858294
0.8020133203,0.9141654599,1.0737619302,1.078808008,0.9594256629,1.0373996455
0.801390251,0.9141899006,1.0746092124,1.079758448,0.9595883807,1.038117075
0.8011700064,0.9143232061,1.0754323753,1.0806939635,0.9599513071,1.0390311102
0.8009645476,0.9145675483,1.0763333535,1.0813103527,0.9601979609,1.0396678744
0.8007077091,0.9148067131,1.0778792875,1.0822110498,0.9606499586,1.0404697647
0.8003257776,0.914652408,1.0789744228,1.0832945186,0.9608209387,1.0412119072
0.8002528245,0.9144798939,1.0801216917,1.0843972017,0.9612415218,1.0419861991
0.8002376056,0.9149311858,1.0810836991,1.0846627831,0.9612085624,1.0432998048
0.7996587818,0.9150160689,1.0825683869,1.0856746528,0.9614420698,1.043868581
0.7999462387,0.9149715472,1.0835087957,1.086790832,0.9612120284,1.0447909141
0.7997798584,0.9151414705,1.0841312571,1.0874039745,0.96120058,1.045270646
0.7995516365,0.915436183,1.0854687832,1.0883401005,0.9609798117,1.0459703954
0.7998705454,0.9154152978,1.0867976913,1.0887513961,0.9610810132,1.046634707
0.7993265095,0.9153747113,1.0879758728,1.0892205292,0.9615197043,1.0472851246
0.799252859,0.9153642269,1.0889224942,1.0895238006,0.9613780248,1.0481432297
0.7987961495,0.9155464584,1.0896657023,1.0900706058,0.9615516639,1.0491526357
0.7983864861,0.9153301064,1.0905898321,1.0908801307,0.9617808948,1.0495830083
0.7980434882,0.9152227234,1.0910795486,1.0915067839,0.9617235584,1.0504304468
0.7980900661,0.9150525222,1.0918700241,1.0922540251,0.9619545885,1.0512500671
0.7978376481,0.9151024202,1.0928476089,1.0930366516,0.9621573441,1.0518401168
0.7980997662,0.91512801,1.0939684466,1.0936473501,0.9625805193,1.0524662834
0.7982517849,0.9149791681,1.0944840744,1.0938017654,0.9626011262,1.0533603142
0.7983383409,0.9147676558,1.0953900134,1.0943725205,0.9627327542,1.0538272347
0.7980854104,0.9150136822,1.0963457098,1.0948587834,0.9629032744,1.0544203118
0.7975308601,0.9148634603,1.0969113568,1.0955434151,0.9628529064,1.0553139005
0.7976171222,0.9151858071,1.0973388354,1.0961893628,0.9632645229,1.0557569617
0.7976685327,0.9152327369,1.0982506636,1.096359504,0.9635229805,1.0565618548
0.7977693862,0.9152958487,1.0988143834,1.0971636785,0.9635034104,1.0569384294
0.7977946839,0.9153085556,1.0993358312,1.0978694575,0.9635518686,1.0574074719
0.7980007502,0.915376024,1.1001302346,1.097929411,0.963688285,1.0578763773
0.7979709327,0.9154762471,1.1009033302,1.0983886842,0.9643575843,1.0584264539
0.7980252812,0.9154956343,1.1016043633,1.0990999712,0.964435501,1.0589913881
0.7977779019,0.9155993964,1.1025244913,1.1000182731,0.9643185008,1.0596773844
0.7976995133,0.9158130684,1.1032311048,1.1003201619,0.9645416107,1.0602895425
0.7976052417,0.9161439046,1.1039066101,1.1005784288,0.9646642823,1.0610319477
0.7977061063,0.916010943,1.1047185247,1.1012674806,0.9648854409,1.0614485498
0.7974916383,0.915860613,1.1053243748,1.1018557939,0.9651851945,1.0619856873
0.7975706469,0.9158442961,1.1059527243,1.1023497745,0.9653484513,1.0622109813
0.7975336259,0.9157223447,1.1063503,1.1027325872,0.9654920058,1.0629064455
0.7975044836,0.915778818,1.1072445679,1.1033914306,0.9655526318,1.0636857996
0.7972470955,0.9158294369,1.1079231842,1.1034686815,0.9656510583,1.0641705285
0.797511276,0.9160889907,1.1085787734,1.1042362764,0.9655537172,1.0647223199
0.7975691123,0.9160286166,1.1091399558,1.1048473454,0.9655450479,1.0654926403
0.7976857184,0.9161974199,1.1099416148,1.1051063459,0.9656468066,1.0659139326
0.7976477859,0.9164501651,1.1104706394,1.1057132935,0.9657934511,1.0662246463
0.7976353458,0.916653595,1.1112295801,1.1060952787,0.9659142621,1.0665444705
0.7977832635,0.9165895769,1.1117153618,1.1064717892,0.9664710797,1.0671227121
0.7975177616,0.9166113757,1.1125613807,1.1068562102,0.9665418772,1.0677026627
0.7975744415,0.9165382113,1.112988761,1.1075687584,0.9665159787,1.0681701611
0.7974978772,0.9167861795,1.1134818584,1.1078222782,0.9665353448,1.0686779868
0.7978858972,0.9168870591,1.1142520864,1.1082654256,0.9665790899,1.0690844268
0.7978120945,0.9168852937,1.1144881207,1.1085835166,0.966412915,1.0695110066
0.798196013,0.9167352166,1.1149043752,1.1088362592,0.9666177109,1.0699561039
0.7981328268,0.9169356877,1.1156249306,1.1091832556,0.9669892995,1.0704217731
