Random,EGreedy 0.0,EGreedy 0.1,Egreedy 0.2,Softmax 1,Softmax 0.1,Arm 4 mean
0.0623706132,0.138194019,0.1085256877,0.0983734719,0.0978016002,0.1196947571,0.3
0.1049242911,-0.0037372242,-0.1151261637,-0.0203763825,-0.0329849666,-0.0756006191,0.3
0.136777309,-0.1393393935,-0.2739670737,-0.0999011708,-0.1397342898,-0.2214356584,0.3
0.1155166457,-0.2133543439,-0.3066730097,-0.2127916981,-0.2885526704,-0.2978722899,0.3
0.1996026823,-0.2736523064,-0.3828105917,-0.3077376859,-0.3985908044,-0.3697499302,0.3
0.2669218362,-0.31421833,-0.4210288149,-0.3545388661,-0.4576916515,-0.416088939,0.3
0.2654879842,-0.3543913506,-0.4723568675,-0.4385455122,-0.5201220301,-0.4479461872,0.3
0.2603438701,-0.3685713378,-0.5108590313,-0.4557404003,-0.5837000522,-0.4761566052,0.3
0.2667804589,-0.3804311519,-0.5449015948,-0.4676879608,-0.6583249226,-0.4880402947,0.3
0.3047788495,-0.3984857327,-0.5834710177,-0.5019533047,-0.7158635242,-0.5009061645,0.3
0.3164190972,-0.4165412775,-0.6222194161,-0.5227207263,-0.7715989249,-0.5099746764,0.3
0.3454224287,-0.422260042,-0.6274627504,-0.5396206051,-0.8275830545,-0.5318111513,0.3
0.3182593407,-0.4289373446,-0.6359626727,-0.5677344324,-0.8518967961,-0.5421958825,0.3
0.331834008,-0.4355602473,-0.6435491965,-0.598688996,-0.894314232,-0.5532491352,0.3
0.3438820979,-0.4467654217,-0.6659598603,-0.6048416201,-0.9182455135,-0.5578435284,0.3
0.3485891883,-0.453078251,-0.6883687382,-0.6079923578,-0.9633144349,-0.5657566184,0.3
0.3516936522,-0.4565238898,-0.7127441526,-0.6069277955,-1.001672165,-0.5724015167,0.3
0.3578077563,-0.4590669501,-0.7408202788,-0.6109979513,-1.0123908334,-0.579043309,0.3
0.3656223444,-0.4629608544,-0.7333677326,-0.6144430662,-1.0349148075,-0.581352443,0.3
0.3472288255,-0.4666617989,-0.7482852702,-0.6041732646,-1.049167177,-0.5831343362,0.3
0.3422882983,-0.4700988127,-0.7684800716,-0.588377145,-1.0648356656,-0.5931791016,0.3
0.336630427,-0.4716835471,-0.769233983,-0.5825123202,-1.0886410761,-0.6001130957,0.3
0.3288545103,-0.4739261168,-0.768196126,-0.5890518256,-1.1180991708,-0.6073848131,0.3
0.3189008308,-0.4774792609,-0.7846305423,-0.601078471,-1.1334125206,-0.6099777239,0.3
0.3202070618,-0.4789637016,-0.8023720742,-0.5894399169,-1.1471161685,-0.6171915299,0.3
0.3133130799,-0.4806684464,-0.7924655167,-0.5942666571,-1.1662136355,-0.6189649198,0.3
0.3167139983,-0.4843448393,-0.7971602459,-0.5922386002,-1.1769669456,-0.6188788123,0.3
0.322961609,-0.4852841267,-0.7960972944,-0.6021925193,-1.1828695799,-0.6227980239,0.3
0.3203437606,-0.4863770945,-0.8053576439,-0.6039003574,-1.1889982912,-0.6254016431,0.3
0.3191111204,-0.4862660891,-0.806300226,-0.5919430135,-1.2013364776,-0.6291803064,0.3
0.3207233262,-0.4881831742,-0.8002795613,-0.5778931149,-1.211792606,-0.6295155587,0.3
0.3163398158,-0.4896467569,-0.8003515254,-0.5657227736,-1.2223749846,-0.6353643084,0.3
0.3062651152,-0.4901272381,-0.7746973021,-0.5699422782,-1.2205050928,-0.6368698854,0.3
0.3103306127,-0.4911653081,-0.7636690504,-0.5858492815,-1.235616605,-0.6375278898,0.3
0.3012423414,-0.492085023,-0.7679828203,-0.5806904628,-1.2454667643,-0.6470944242,0.3
0.3069588644,-0.4929328981,-0.7761063677,-0.6106978225,-1.2508581376,-0.6471143125,0.3
0.299217213,-0.4937910398,-0.7767658669,-0.6031454228,-1.2534796028,-0.6443911128,0.3
0.2934665762,-0.4945400121,-0.7747977195,-0.5922162444,-1.262488066,-0.6526513152,0.3
0.293077217,-0.4952439481,-0.7784864186,-0.581638621,-1.2664176301,-0.655336002,0.3
0.2928229871,-0.4960145302,-0.7516479868,-0.5758789537,-1.2693612097,-0.6579158992,0.3
0.2932327543,-0.4978182273,-0.7425487072,-0.5786713244,-1.2732127626,-0.6597828728,0.3
0.2942860632,-0.4989135234,-0.7491732321,-0.5830292221,-1.2757639013,-0.659619171,0.3
0.2873897076,-0.499369625,-0.7439134877,-0.5811452153,-1.2810416249,-0.6629844773,0.3
0.2854057756,-0.4999232934,-0.7319086999,-0.5782388024,-1.286763617,-0.6635785215,0.3
0.2870608026,-0.5001379856,-0.7365969355,-0.5630365564,-1.2924011627,-0.6640460943,0.3
0.2895086614,-0.5013587599,-0.7303528138,-0.5634639694,-1.2985570334,-0.6713628049,0.3
0.2932128121,-0.501305659,-0.7292072136,-0.5579569122,-1.294918865,-0.6689469772,0.3
0.2988191713,-0.5024957049,-0.7359915163,-0.5663720353,-1.2857355971,-0.6729488075,0.3
0.2990271588,-0.5032219454,-0.7416929923,-0.5598626466,-1.2993188023,-0.6790512005,0.3
0.2971580523,-0.5039201101,-0.7300612216,-0.5581277767,-1.300551557,-0.680747329,0.3
0.2957792439,-0.5046268846,-0.7104249892,-0.5370852336,-1.3020986546,-0.6802614781,0.3
0.2987899637,-0.5049610254,-0.6982061459,-0.5363470198,-1.3030828354,-0.6793551786,0.3
0.3036404447,-0.5050290826,-0.6966539836,-0.5341813906,-1.3078868587,-0.6843183056,0.3
0.3007309978,-0.5055183945,-0.7017878399,-0.5373596914,-1.3058062795,-0.6903049405,0.3
0.3007109736,-0.5056234546,-0.6881707183,-0.5322735138,-1.3049555539,-0.6916623258,0.3
0.2954960228,-0.5065662302,-0.6982730507,-0.5313106353,-1.306632713,-0.6880062691,0.3
0.2964483119,-0.5073632229,-0.6924558977,-0.5327052916,-1.3081348377,-0.6901361937,0.3
0.2967721194,-0.5074543964,-0.6949596874,-0.5277753276,-1.3098872912,-0.6887717544,0.3
0.2966040511,-0.5071916462,-0.6885218574,-0.5205483221,-1.3104712651,-0.6816667976,0.3
0.2957231752,-0.5075896725,-0.6881221775,-0.500712717,-1.3060981229,-0.688378442,0.3
0.2902344703,-0.5082336942,-0.6886620073,-0.4987955273,-1.3086306188,-0.6878919512,0.3
0.293477578,-0.5093838658,-0.6984774704,-0.4882171199,-1.3053201915,-0.6932641643,0.3
0.2914415493,-0.5102528509,-0.6963078139,-0.4781767253,-1.3074836016,-0.6930968996,0.3
0.290247577,-0.509725375,-0.6925906188,-0.4590001937,-1.3107973764,-0.6935619383,0.3
0.2902136291,-0.5099130393,-0.6958677381,-0.4566947303,-1.3090656958,-0.6903585247,0.3
0.2877073338,-0.5104002311,-0.6807149797,-0.4550811526,-1.3016000679,-0.6897462652,0.3
0.2898221119,-0.5106681456,-0.6721918102,-0.4456777719,-1.298725876,-0.6947275821,0.3
0.2895908456,-0.5110060672,-0.6786661019,-0.4419138479,-1.2976020875,-0.6971177995,0.3
0.283873423,-0.5118307052,-0.6773704131,-0.4376193196,-1.29853633,-0.697466548,0.3
0.2838954189,-0.5118618724,-0.6619289255,-0.4330920524,-1.3033931239,-0.6982159853,0.3
0.2906271358,-0.5125873756,-0.669621933,-0.4246984485,-1.2973329337,-0.6961858265,0.3
0.292100083,-0.5127712387,-0.6666191468,-0.4150854724,-1.2923522751,-0.6995590344,0.3
