Random,EGreedy 0.0,EGreedy 0.1,EGreedy 0.2,Softmax 1,Softmax 0.1
0.8054437393,0.8270322574,0.8108776591,0.8528943556,0.8572267068,0.8681214881
0.7715915999,0.888398196,0.7650817346,0.8437859653,0.8649519605,0.8654364403
0.78562649,0.871062319,0.7768637809,0.84323326,0.8635166395,0.8489899552
0.7678320742,0.8895254643,0.8166798698,0.8602339817,0.8675215549,0.855259853
0.80059309,0.8842461083,0.8207349101,0.8595306558,0.8708097506,0.8648974099
0.8079296579,0.8871090881,0.8323579739,0.8668256891,0.8743114846,0.8696696075
0.8083848219,0.8862227196,0.8456832436,0.8639913538,0.878991387,0.874016487
0.8071499134,0.9006405857,0.8556067423,0.8689794898,0.8840513086,0.8863985292
0.8132221327,0.9071006699,0.8650390601,0.8770039299,0.8879275696,0.9013976255
0.8101773556,0.9100014984,0.8631814709,0.8835463161,0.897688405,0.9153949952
0.8094047944,0.9068204657,0.8642697851,0.8842317307,0.9018347933,0.9180094694
0.8130907658,0.9115095278,0.8706898404,0.8889717917,0.9027863649,0.9227433444
0.8080064993,0.9153202392,0.8789663926,0.8958282053,0.9070949783,0.9234242573
0.8123418624,0.9146157837,0.8826258761,0.8981028414,0.9072931573,0.926438765
0.8177984632,0.9127970985,0.8847679716,0.9049212257,0.914450044,0.92905704
0.8197577008,0.9108276819,0.8859694246,0.9072350648,0.9136243894,0.9333287681
0.8216518688,0.917443729,0.8887522751,0.9113228018,0.9150306373,0.9392185218
0.820247989,0.9215726406,0.8909632916,0.9132878511,0.9178664971,0.9387460933
0.8201527349,0.922490544,0.8951051162,0.9161539015,0.9195361049,0.9415209814
0.8136710585,0.9233155856,0.8966047904,0.917608692,0.9201900874,0.9441485881
0.8142077191,0.921889677,0.8976702117,0.9230559364,0.9211920029,0.9483566479
0.8106911784,0.9252766888,0.9011950259,0.9268039858,0.9230740261,0.9484874902
0.8105421523,0.926413072,0.90598476,0.9277598446,0.9220592081,0.9509374524
0.8093386681,0.9253141585,0.9082193101,0.9302802527,0.9241762975,0.9520616321
0.8117650499,0.9272209521,0.9084519039,0.9326486863,0.9264792428,0.952612401
