eGreedy time,Softmax time,Arm 2 mean
0.2850865437,0.2756807297,1.1
0.4395841881,0.46628415,1.1
0.5501146534,0.6050471288,1.1
0.5966542479,0.7143470995,1.1
0.6484489331,0.7851675217,1.1
0.6818844475,0.8483886624,1.1
0.7057466808,0.8922722716,1.1
0.7335235613,0.9312186485,1.1
0.7488942659,0.9603642867,1.1
0.7754203429,0.9808172582,1.1
0.7936323546,1.003271056,1.1
0.8050048146,1.0217409279,1.1
0.8210789044,1.0332778755,1.1
0.8348373598,1.0454149321,1.1
0.8454403935,1.0505216905,1.1
0.8563897116,1.0581262077,1.1
0.8659112167,1.0622682319,1.1
0.8736135738,1.0637615906,1.1
0.8783737566,1.0656775677,1.1
0.8875053592,1.067473041,1.1
0.8907017689,1.0697450361,1.1
0.8978682213,1.0766664049,1.1
0.9009794311,1.0781945687,1.1
0.9079825662,1.0806007025,1.1
0.9174342619,1.0830429452,1.1
0.9244391518,1.0827742623,1.1
0.9258139726,1.0852908704,1.1
0.9318741824,1.0858042402,1.1
0.9393225921,1.0858306739,1.1
0.9427661522,1.085375066,1.1
0.9433451835,1.0866388301,1.1
0.9476457796,1.0868657345,1.1
0.9517168316,1.0882160815,1.1
0.9548632162,1.0894688009,1.1
0.9546955524,1.0905110802,1.1
0.957645292,1.0903935874,1.1
0.9578364326,1.0912758631,1.1
0.9610648731,1.0922447794,1.1
0.9606911402,1.0925262182,1.1
0.9651930015,1.0936259029,1.1
0.9649335875,1.0939606347,1.1
0.9662894675,1.0941428778,1.1
0.9690741192,1.0941389702,1.1
0.969816335,1.0945548385,1.1
0.9704899864,1.0946778859,1.1
0.9732137654,1.0937694928,1.1
0.9739725953,1.0941008433,1.1
0.9739560645,1.0943041685,1.1
0.975235054,1.0949186737,1.1
0.9786223428,1.095686598,1.1
0.9790745511,1.0959812373,1.1
0.980682705,1.0958150091,1.1
0.9857311548,1.0964651528,1.1
0.9880783597,1.0968380681,1.1
0.9892613101,1.0975216332,1.1
0.9907832097,1.0973292141,1.1
0.9924824591,1.0970826804,1.1
0.9935225887,1.0974494242,1.1
0.9937483288,1.0977871838,1.1
0.9949214407,1.0969931814,1.1
0.996646686,1.0968372605,1.1
0.9957574159,1.0973251559,1.1
0.9961836094,1.0970981444,1.1
0.9955837416,1.097004957,1.1
0.9958819593,1.0972109083,1.1
0.9964842112,1.0976593564,1.1
0.9975114419,1.0976178486,1.1
0.9988416767,1.0984310806,1.1
1.0002467852,1.0990112554,1.1
1.0009596919,1.0988117178,1.1
1.0022932467,1.0986843513,1.1
1.0042245117,1.0986349117,1.1
1.0051443284,1.0986394587,1.1
1.0078496696,1.098615831,1.1
1.0083365876,1.0978458059,1.1
1.0110759453,1.0986581292,1.1
1.0115458509,1.0984655051,1.1
1.0135123743,1.0984315915,1.1
1.0149789462,1.0985353917,1.1
1.0154366057,1.0985481062,1.1
1.0152973417,1.0981541933,1.1
1.0156922926,1.0981110297,1.1
1.0161116149,1.0979657457,1.1
1.0166549578,1.09758082,1.1
1.0167347069,1.0976132171,1.1
1.017123413,1.0976315863,1.1
1.017696221,1.0977595351,1.1
1.0182620465,1.0979667375,1.1
1.0189881824,1.0980361808,1.1
1.0196171019,1.0976611263,1.1
1.0196782319,1.0974447647,1.1
1.0203821448,1.0966925399,1.1
1.0213599864,1.0969072368,1.1
1.0222363875,1.0971741192,1.1
1.022661319,1.0973231702,1.1
1.0224795797,1.097649456,1.1
1.021993542,1.0973716213,1.1
1.0218122634,1.0971965062,1.1
1.0219188199,1.0968769692,1.1
1.0215073034,1.0969831961,1.1
1.0215067276,1.0973169542,1.1
1.0217959219,1.0973573779,1.1
1.0220811143,1.09740409,1.1
1.0220369562,1.0974000715,1.1
1.0221913954,1.097370911,1.1
1.0224326665,1.0976570785,1.1
1.0230696531,1.0975015369,1.1
1.0247363592,1.0976768525,1.1
1.0253696797,1.0977894333,1.1
1.0251664058,1.0978459818,1.1
1.0255019561,1.0981630539,1.1
1.0255389114,1.0980977956,1.1
1.0260842875,1.0979074662,1.1
1.026369175,1.097962797,1.1
1.0273422873,1.0981158151,1.1
1.0272654168,1.0979170075,1.1
1.0272677706,1.0983319349,1.1
1.0279411093,1.0983360489,1.1
1.0293110657,1.0982946861,1.1
1.0290038571,1.0979343762,1.1
1.0295848837,1.0980926162,1.1
1.0290625739,1.0978934208,1.1
1.0292213817,1.0981345783,1.1
1.029702289,1.0984154308,1.1
1.029866334,1.0985119943,1.1
1.0305059827,1.098328846,1.1
1.0303153847,1.0987009091,1.1
1.0303476351,1.0985332789,1.1
1.0306111089,1.0984422852,1.1
1.0307539008,1.0983988651,1.1
1.0311018453,1.0983627835,1.1
1.032365693,1.0985500385,1.1
1.0318904039,1.0985275583,1.1
1.0320491127,1.0984913282,1.1
1.0323911247,1.0982301609,1.1
1.0329892006,1.0979958325,1.1
1.033905545,1.0978508905,1.1
1.0340781442,1.0974942415,1.1
1.0346466408,1.0976295337,1.1
1.0347144932,1.0976715469,1.1
1.035308476,1.0976026863,1.1
1.0353943197,1.0979370487,1.1
1.0355683244,1.0981670258,1.1
1.0356304171,1.0982340047,1.1
1.0356571752,1.0979102365,1.1
1.0353370433,1.0979426092,1.1
1.0359469008,1.0978278461,1.1
1.036373196,1.0980183433,1.1
1.0367062539,1.0981799059,1.1
1.0368447256,1.0985125705,1.1
1.0369605529,1.0982668351,1.1
1.0372305096,1.0984287287,1.1
1.0377558319,1.0982277799,1.1
1.038321707,1.0981440068,1.1
1.0388053066,1.0979747988,1.1
1.0383289968,1.0977794423,1.1
1.0381528292,1.0978925979,1.1
1.038792092,1.0981301488,1.1
1.0390621394,1.0981401313,1.1
1.0389794755,1.0983538419,1.1
1.0387170896,1.0984947687,1.1
1.0387812992,1.0986399173,1.1
1.0386729595,1.0982773742,1.1
1.0387126502,1.0984738675,1.1
1.038823468,1.0986872758,1.1
1.0392758678,1.0985359109,1.1
1.0396958535,1.0982036173,1.1
1.0398601394,1.0982330886,1.1
1.0399396074,1.0980964347,1.1
1.0400565016,1.0982391641,1.1
1.040114073,1.0981394477,1.1
1.0403062513,1.0979970216,1.1
1.0403886475,1.0977911251,1.1
1.0408611912,1.0977958131,1.1
1.0409520101,1.0977308478,1.1
1.0412676313,1.0977966362,1.1
1.0412906967,1.098046354,1.1
1.0413417627,1.0980054142,1.1
1.041596617,1.0980737464,1.1
1.0416740001,1.0981580102,1.1
1.0417975838,1.0981912004,1.1
1.0416744728,1.0983736279,1.1
1.0418913494,1.0983357018,1.1
1.0417507606,1.0986388406,1.1
1.042145108,1.0986171263,1.1
1.0422063704,1.0985548539,1.1
1.0425229616,1.0985184938,1.1
1.0430195647,1.0984520486,1.1
1.0431785136,1.0984468624,1.1
1.0432368947,1.0983188549,1.1
1.0428759016,1.098410749,1.1
1.0425927879,1.0983091381,1.1
1.0425799171,1.0981991955,1.1
1.0430759217,1.0983323456,1.1
1.0433411692,1.0982798153,1.1
1.0432090638,1.0982152214,1.1
1.0434684973,1.0981075937,1.1
1.0435500161,1.0978753557,1.1
1.0436877978,1.0979519181,1.1
1.0435493883,1.098342649,1.1
1.0435365244,1.0983617442,1.1
1.0437334364,1.0981603541,1.1
1.0439857144,1.0978776183,1.1
1.0438996674,1.0979784781,1.1
1.0438872369,1.0979300638,1.1
1.0439031682,1.0976989111,1.1
1.0438584026,1.0977538637,1.1
1.0440185204,1.0977989985,1.1
1.0442422048,1.0977869879,1.1
1.0442307765,1.0977962306,1.1
1.0442587051,1.0978378411,1.1
1.0443104142,1.0978131458,1.1
1.0445805116,1.0977697798,1.1
1.0450194329,1.0976527929,1.1
1.0455597089,1.097557639,1.1
1.0455691118,1.0976018628,1.1
1.0454670371,1.0974478052,1.1
1.0455978477,1.0975805643,1.1
1.0456644465,1.0975690405,1.1
1.0455210027,1.0975260031,1.1
1.0456297321,1.0976084823,1.1
1.0458368127,1.0976909305,1.1
1.0460063117,1.0977477572,1.1
1.0461444825,1.0977780178,1.1
1.0462469859,1.0976571988,1.1
1.0461289523,1.0976984287,1.1
1.0461807021,1.0975903952,1.1
1.046228163,1.0974903118,1.1
1.0467200641,1.0976323911,1.1
1.0467549387,1.0977951605,1.1
1.0466282684,1.0978221651,1.1
1.046564904,1.0976620457,1.1
1.0468285869,1.0977109063,1.1
1.0466413997,1.097683796,1.1
1.046669196,1.0976922592,1.1
1.0468451195,1.0976928708,1.1
1.0467982166,1.0977386577,1.1
1.0468448907,1.0976229947,1.1
1.0469003909,1.0977634858,1.1
1.0468296472,1.097786694,1.1
1.0466940335,1.0978622501,1.1
1.0470284492,1.097732321,1.1
1.0471179236,1.0976625552,1.1
1.0468910827,1.0977628597,1.1
1.0472581816,1.0979561193,1.1
1.0473067607,1.0980276846,1.1
1.0474415084,1.0979824843,1.1
1.0474758713,1.0979600021,1.1
1.0476721974,1.098095908,1.1
1.04770727,1.0982270631,1.1
1.0477559229,1.0980864344,1.1
1.0479066663,1.0979935242,1.1
1.0480107557,1.0979628381,1.1
1.0481200499,1.0979449393,1.1
1.0482316541,1.0979906237,1.1
1.0482497401,1.0978040857,1.1
1.0483159734,1.0977940861,1.1
1.0483643302,1.0977303815,1.1
1.0487023187,1.097779677,1.1
1.0488096152,1.0978051265,1.1
1.0489976579,1.0978551344,1.1
1.0491385959,1.0977720792,1.1
1.049324134,1.0976724121,1.1
1.0500405771,1.097715108,1.1
1.0501252207,1.0975669534,1.1
1.0499680663,1.0973607292,1.1
1.0501196476,1.0973784949,1.1
1.0500486281,1.09736041,1.1
1.0496682011,1.0973582552,1.1
1.049438933,1.0975931096,1.1
1.0492995807,1.097549354,1.1
1.0497452982,1.0976057604,1.1
1.0497334116,1.0974307215,1.1
1.0498151096,1.0973782026,1.1
1.0495041628,1.0973219701,1.1
1.0499653602,1.0973924008,1.1
1.0502002071,1.0973723625,1.1
1.0500820071,1.0975520212,1.1
1.0502174898,1.0976527807,1.1
1.0502516778,1.0975841021,1.1
1.0503362996,1.0977237331,1.1
1.0503320396,1.0975500053,1.1
1.0502273171,1.0975389195,1.1
1.0503658462,1.0974600514,1.1
1.0506870027,1.0975251543,1.1
1.0504967364,1.0977469469,1.1
1.0508168007,1.097879993,1.1
1.0506408375,1.0977882197,1.1
1.0507594749,1.0978515492,1.1
1.0508153905,1.0977816699,1.1
1.050878313,1.0978497908,1.1
1.0510946201,1.097871934,1.1
1.0510984368,1.0978753292,1.1
1.051032948,1.0979138564,1.1
1.0508317822,1.097984235,1.1
1.0507266418,1.0981360519,1.1
1.0506962281,1.0980505704,1.1
1.0507672194,1.0979792917,1.1
1.0509980105,1.0977589968,1.1
1.0512868104,1.0977105524,1.1
1.0511835537,1.0977611954,1.1
1.0512177233,1.0978784162,1.1
1.0515327084,1.0979528745,1.1
1.0517624618,1.0979828549,1.1
1.0519483829,1.0979193276,1.1
1.0519046722,1.0977935089,1.1
1.0522927866,1.0978598549,1.1
1.0523000608,1.097920545,1.1
1.0522069011,1.0980105199,1.1
1.0524442152,1.0979420021,1.1
1.0525398051,1.097899077,1.1
1.0526801244,1.097791909,1.1
1.0527187128,1.0976859189,1.1
1.0533092149,1.0976777798,1.1
1.0532741084,1.0977639683,1.1
1.0534522131,1.0976847692,1.1
1.0533617137,1.0975874832,1.1
1.0534303512,1.0975713136,1.1
1.0534571924,1.0975389659,1.1
1.0535579019,1.0976091534,1.1
1.0535697121,1.0976010067,1.1
1.0536128678,1.0977123088,1.1
1.0534499191,1.0978133386,1.1
1.0534946054,1.0977180876,1.1
1.0533534634,1.0977901049,1.1
1.0535026756,1.0977300342,1.1
1.053639503,1.0977162808,1.1
1.0536662313,1.0976073109,1.1
1.0537208077,1.0974987099,1.1
1.053732322,1.097482509,1.1
1.0539931208,1.097538775,1.1
1.0541129843,1.0976779012,1.1
1.0540125036,1.097662187,1.1
1.0541730588,1.0975788817,1.1
1.0543212674,1.0977091289,1.1
1.054503226,1.0978116273,1.1
1.0545457436,1.0978184204,1.1
1.0546023983,1.0978353175,1.1
1.0546374606,1.0978384159,1.1
1.0545426881,1.0978389126,1.1
1.0545230462,1.0977436107,1.1
1.054696096,1.0978189699,1.1
1.0548033782,1.0977471029,1.1
1.054774365,1.0978831077,1.1
1.0549671301,1.097918467,1.1
1.0551231875,1.0979188522,1.1
1.0549399716,1.097878734,1.1
1.0550300733,1.0978865047,1.1
1.0550571029,1.0978539829,1.1
1.0550127326,1.0979015564,1.1
1.0551241309,1.0979072408,1.1
1.0551289375,1.097980351,1.1
1.0556523612,1.0979483809,1.1
1.0556739906,1.0979993748,1.1
1.0556318969,1.0980483678,1.1
1.0558193035,1.0980324285,1.1
1.055788625,1.0979973714,1.1
1.055766917,1.0980915189,1.1
1.0558704384,1.0981300886,1.1
1.0558020321,1.0980517364,1.1
1.0559229493,1.0979862827,1.1
1.0558530257,1.0979518475,1.1
1.0560095158,1.0979525536,1.1
1.0561481748,1.0979488721,1.1
1.056129893,1.0979031781,1.1
1.0561590448,1.0978859534,1.1
1.0560322894,1.0979137419,1.1
1.0561503557,1.0979880743,1.1
1.0561025861,1.0980168056,1.1
1.0561364609,1.0978919105,1.1
1.0562236291,1.0979554252,1.1
1.0562052204,1.0979900342,1.1
