boltzmann a,boltzmann b,boltzmann c,Optimistic boltzmann a,Optimistic boltzmann b,Optimistic boltzmann c
-1.2024405313,-4.0298015648,-6.4951680209,-3.3022317483,-4.0334856799,0.2126069568
0.4393780818,-0.0940631157,1.6050175689,-2.9454310092,-4.8810666897,0.8895366089
2.9169584405,1.435259847,3.8399094959,-1.8319058234,-5.916997324,-2.174643548
4.6052307108,5.2447100577,4.4070373986,-3.608394989,-1.2956919956,-1.8059926401
5.8882802031,4.1629773207,6.571230024,-2.676120121,-1.3489393897,-0.6741275798
5.2875822319,5.6926821216,6.0873342944,-3.4542741083,-2.3108639812,-5.1704549726
5.9161114087,5.8119779876,5.9869065309,-2.0641607683,-1.7409090546,-5.0947930332
5.9806808591,6.2352560083,6.5961494917,-4.7025867953,-2.1998545806,-1.1374981673
6.0379912684,6.1199841183,6.7321688202,-3.9869292381,-4.2289087994,-6.3738821232
6.4686276485,6.1018979326,6.4979245934,-2.54385054,-2.7165202184,-4.5112477992
6.5781147074,6.2988485575,6.1446244095,1.9189264648,-0.432433859,-3.7607764861
6.5061279637,6.5365297085,6.6211910907,1.2553250256,0.479805499,2.2500787438
6.3606726564,6.1763564893,5.9387157682,5.1956783397,2.647351694,2.1537200843
5.4051291528,6.2037070098,6.6887786908,4.2145991474,2.7368365858,0.6910941017
6.5267635775,5.9579606451,6.3358915695,6.8907107784,4.1693498093,0.2068998309
6.5720743354,6.333437931,6.7539710932,7.4079224166,4.6219272936,5.9306071512
6.5564643187,6.1993125618,6.9077065035,8.3825181968,5.4101538499,5.4414338575
6.4841769421,6.1577510693,6.4550964473,9.6369462268,5.947106107,3.8333988845
6.5746891651,6.3656985157,6.3083481918,9.6913783213,5.8013259083,4.4128777146
6.5133376803,5.9734627759,6.7091318808,10.9626233108,6.583426647,5.0743669801
6.1801932832,6.1625326251,6.6775828821,10.1777207164,5.650883078,6.3340694499
6.5362163446,6.368001644,6.6597190704,10.3796885685,8.1645500031,4.8956188271
6.5413198385,6.2897235185,6.7597559118,9.4578160409,6.7276049132,5.276614546
6.4250241521,6.3802682101,6.2657172225,9.2576954507,6.5154473419,7.0691479735
6.524828063,6.1229466061,6.8735556641,10.5599517486,7.9238653689,5.7088760728
6.5335798063,6.3255715574,6.604909834,9.978855889,7.9060354041,5.8312604575
6.1633242066,6.3096510922,6.7128286051,10.9910188947,8.8349630904,9.0686978932
6.5387332924,6.3756680852,6.4529093041,10.0736579597,7.6276835711,6.7828680224
6.4901108043,6.4980978593,6.2273601469,8.6339325802,7.6564413639,8.5808866761
6.235144687,6.2920115433,6.7609346922,10.4399203982,9.1285031587,7.0031529831
6.5589482236,6.2374368839,6.2302720743,9.9475627724,8.3869652487,7.0614240539
6.5790338439,6.3214932209,6.7034753773,9.7511285693,8.2235504397,7.557750995
6.5776458097,6.0504397204,6.2773377659,8.9433076082,8.5416851677,6.0292057281
6.6137411003,6.2754308975,6.4700132758,9.6746307655,8.8396181265,8.8907802245
6.4395812507,6.4566904648,6.2722234454,9.5759327512,8.9455785193,8.7125702433
6.4975689221,6.5028481238,6.788128164,8.8275224971,7.3746566396,7.9162146006
6.5119822536,6.335425994,6.5463892466,10.1995600276,8.9374943201,6.7154491446
6.5937012957,6.2403055684,6.8618279768,9.7925616436,9.7848995226,8.330693122
6.5661369524,6.4179048696,5.7178837418,10.1829916242,9.3624207806,8.4796153764
6.5472534662,6.3297781951,6.792702167,8.4362455657,9.2348997904,8.8551636786
6.4712000653,6.2602384655,6.931122123,8.5405696485,5.6671075391,8.0265451766
6.4800571176,6.2570377242,6.2115606848,9.0160608343,7.4986048644,9.0057974194
6.5673671003,5.5739558989,6.7333720961,9.3511388681,8.1283424696,9.0479187193
6.5405381085,6.1171789014,6.5060999738,8.8369629419,9.6513418248,7.8914389526
6.4605897928,5.7871536815,6.8344600809,8.449108046,9.0205455388,8.7407440545
6.5570379787,6.1421780211,6.4091601859,8.8248298826,7.6087915015,7.4635939004
6.6369220911,6.3520294538,6.2180977748,9.0931425812,8.4244806163,7.8886451397
6.6430621823,6.1402965566,6.6812583155,9.5630294919,7.9053305067,8.2548992384
6.627840794,6.3186384671,6.527518167,10.0612453139,8.1367628857,9.686835718
6.6260096546,6.2966121231,6.5423670346,9.0298032337,7.1905039946,8.6154191135
6.511361247,6.2649070381,6.5812322927,9.3629456233,8.6176595234,8.9032669947
6.5060164184,6.2268006614,6.6471146537,9.7128452408,9.669631623,9.510109027
6.6697726979,6.2740494354,7.1163440538,8.1291158296,8.9969916186,8.7758930115
6.5586583746,6.6467329331,6.6662872095,10.0738753961,8.31439061,10.302865951
6.6160344318,5.9237220768,6.6713401143,9.7622852153,8.3646119968,9.5981913274
6.4867451064,6.4283676322,6.296278058,8.5056450846,8.0395181345,8.0157052109
6.2417819483,6.0220967057,6.5180684454,8.8407300548,8.3036708927,8.5070370508
6.5158766481,6.0858847022,7.0593335846,10.1608623365,8.5394051757,9.1589466484
6.7230324819,6.5283560337,6.316363633,10.5844335857,7.722340679,9.3641137407
6.5687595863,5.7995207354,6.5929245513,9.1567616711,8.3455904712,9.3608193267
6.1103820623,6.1480354356,6.8157519957,10.4573460251,8.9618442027,8.1912418788
6.6041377005,6.3085832741,6.1527997141,10.5871839486,9.5540938044,8.1099143297
6.6637472232,6.4680938459,6.5039307435,8.8333836947,7.1900948547,8.5161672343
6.5844843749,6.2315278842,6.5803360669,9.6730308688,7.9777329337,9.7719029302
6.4617626488,6.2965190814,6.7935601717,8.1052508619,7.8675492819,7.9902390123
6.4760657798,6.0855017001,6.9318006411,8.8206987698,8.1198259211,9.3211386753
6.6061081724,6.2662662893,6.3342869569,7.5932017282,7.7135068785,8.5353595768
6.6574494786,6.5409991098,6.9048119825,9.589868431,8.329052829,9.2508725365
6.6600663438,6.4140191389,6.5938124833,9.234712048,6.8807239427,8.5423562028
6.6309362506,6.2010591538,6.7742710511,9.2182034444,9.8524619744,8.592924538
6.6690003878,6.3650306428,6.8253082565,9.3529066664,8.0146609562,8.9349330573
6.6635170085,6.4125085177,6.1176965005,10.0644104954,8.3257092895,7.0172561037
6.6152411749,6.0585183789,6.7037166222,9.5624592643,7.3139011395,8.3895802548
6.6670880419,6.0862777881,6.5566311314,9.3754122388,8.9131988045,7.6942628253
6.3166333797,6.2724852851,6.0162336979,9.5555193933,7.716327228,8.174200846
6.5418832733,6.2648520661,6.9001571278,8.4153899279,8.3794453087,9.383116514
6.6085165812,6.1369030703,6.5889893963,9.3777671454,9.3498204886,9.0201553811
6.6990687633,6.1508577333,6.4211122761,9.0380090006,8.7416903722,8.5107528709
6.6555206513,6.3979096753,6.6558745031,10.6030622898,8.7332157902,8.7268447374
6.6540186985,5.9406146659,6.5562341357,9.7720646279,8.3139587884,9.0556198979
6.6337993879,6.2659987993,6.3497720412,8.570340608,8.1100557261,7.3874459796
6.5249075011,6.4803520648,6.6225615994,8.9374850794,7.63473379,7.1746504466
6.5542204601,6.3470288761,6.4757215797,9.3448291056,8.9305961288,7.8342891575
6.2591097609,6.3045787519,6.8061962693,9.7610612929,8.0124336693,8.5337186818
6.320733186,6.2002717032,6.4917777853,9.5899708714,9.6559992294,10.3014603806
6.6845011659,6.5301807473,7.0532136344,10.170741921,8.8350133937,8.4077610498
6.6642910334,6.2488477799,6.8525790013,8.9375080754,8.7260526938,8.8266104349
6.5596527809,6.2910095575,6.8954032559,10.2024483352,8.1311056596,9.5891470201
6.6046976081,6.4048864437,6.8650926498,9.6225564157,9.7167940748,9.0216500244
6.7075222583,6.6447903399,6.708157424,10.1683860897,8.6237005129,8.9113027916
6.2445387163,6.4513814498,6.6160567899,9.2391230165,8.5480101722,9.6808000937
6.7021248754,6.3835873389,6.7236869318,9.6541133275,6.27781557,6.7635665969
6.6707066222,6.0382655525,6.7749586445,9.3878630818,8.8426736839,8.8600418965
6.6556350193,6.2554329484,6.9791125856,8.979244542,8.4088251971,9.9836145609
6.5766150334,6.105469073,6.1838759826,9.664397984,6.3792616606,7.6367640471
6.6344604958,6.1919087942,7.2762924358,9.7707399455,8.5468700672,8.8071794962
6.5352642354,6.2903755821,6.6397216555,10.0510583932,9.2543452352,10.1942353824
